entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,merchandise_sales_revenue_1985_million_cruzeiros,merchandise_sales_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
REGIÃO METROPOLITANA - FORTALEZA,9 553,"38,2",56 243,"57,7",471 968,"60,2",,,25,mistral_table_partial,yes
DEMAIS MUNICIPIOS,15 473,"61,8",41 222,"42,3",311 695,"39,8",110 410 606,"72,3",25,mistral_table_plus_pdf_text_layout,no
PERNAMBUCO,32 045,"100,0",136 895,"100,0",1 127 333,"100,0",,,25,mistral_table_partial,yes
REGIÃO METROPOLITANA - RECIFE,12 273,"36,3",76 195,"55,7",720 749,"63,9",13 537 44E,"68'""",25,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,19 772,"61,7",60 699,"44,3",409 584,"36,1",39 134 196,"59, 9",25,mistral_table_plus_pdf_text_layout,no
BAHIA,42 802,"100,0",188 298,"100,0",1 550 503,"100,0",,,25,mistral_table_partial,yes
REGIÃO METROPOLITANA - SALVADOR,6 550,"20,0",70 685,"37,5",758 020,"48,9",14 091 339,"AS,4",25,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,34 252,"80,0",117 613,"62,5",792 483,"51,1",,,25,mistral_table_partial,yes
REGIÃO SUDESTE,345 190,"100,0",1 946 717,"100,0",19 081 993,"100,0",410 948 136,"100,0",25,mistral_table_plus_pdf_text_layout,no
TOTAL DAS REGIÕES METROPOLITANAS,146 713,"42,5",1 077 663,"55,4",12 442 555,"65,2",,,25,mistral_table_partial,yes
DEMAIS MUNICIPIOS,198 477,"57,5",869 054,"44,6",6 639 438,"34,8",,,25,mistral_table_partial,yes
MINAS GERAIS,87 397,"100,0",360 265,"100,0",2 610 437,"100,0",,,25,mistral_table_partial,yes
REGIÃO METROPOLITANA - BELO HORIZONTE,16 592,"19,0",109 559,"30,4",1 061 291,"40,7",24 304 967,37'.,25,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,70 805,"81,0",250 706,"69,6",1 549 145,"59,3",,,25,mistral_table_partial,yes
RIO DE JANEIRO,63 807,"100,0",452 524,"100,0",4 352 195,"100,0",,,25,mistral_table_partial,yes
REGIÃO METROPOLITANA - RIO DE JANEIRO,47 976,"75,2",381 897,"84,4",3 887 727,"89,3",,,25,mistral_table_partial,yes
DEMAIS MUNICIPIOS,15 831,"24,8",70 627,"15,6",464 469,"10,7",,,25,mistral_table_partial,yes
SÃO PAULO,181 606,"100,0",1 073 950,"100,0",11 702 863,"100,0",,,25,mistral_table_partial,yes
REGIÃO METROPOLITANA - SÃO PAULO,82 145,"45,2",586 207,"54,6",7 493 537,"64,0",,,25,mistral_table_partial,yes
DEMAIS MUNICIPIOS,99 461,"54,8",487 743,"45,4",4 209 326,"36,0",,,25,mistral_table_partial,yes
REGIÃO SUL,140 509,"100,0",750 673,"100,0",7 012 794,"100,0",1 52 688 897,"100,D",25,mistral_table_plus_pdf_text_layout,no
TOTAL DAS REGIÕES METROPOLITANAS,28 440,"20,2",206 654,"27,5",2 336 500,"33,3",,,25,mistral_table_partial,yes
DEMAIS MUNICIPIOS,112 069,"79,8",544 019,"72,5",4 676 294,"66,7",,,25,mistral_table_partial,yes
PARANA,49 456,"100,0",270 047,"100,0",2 385 684,"100,0",,,25,mistral_table_partial,yes
REGIÃO METROPOLITANA - CURITIBA,10 118,"20,5",74 095,"27,4",762 043,"31,9",,,25,mistral_table_partial,yes
DEMAIS MUNICIPIOS,39 338,"79,5",195 952,"72,6",1 623 641,"68,1",,,25,mistral_table_partial,yes
RIO GRANDE DO SUL,65 838,"100,0",351 322,"100,0",3 526 560,"100,0",,,25,mistral_table_partial,yes
REGIÃO METROPOLITANA - PORTO ALEGRE,18 322,"27,8",132 559,"37,7",1 574 457,"44,6",26 222 045,"40,,",25,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,47 516,"72,2",218 763,"62,3",1 952 102,"55,4",,,25,mistral_table_partial,yes
