order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_service_activity_1980,salaries_withdrawals_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_service_activity_1985,salaries_withdrawals_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
35,RADIODIFUSÃO E TELEVISÃO,,,,,,84,107,4 047,3 466,69 366 349,228 ass 316,54,55,mistral_table_partial,pdf_text_layout,yes
36,DIVERSÕES,318,1 653,1 119,128 402,639 488,137 201,6 213,4 546,122 993,202 308,754 266,54,55,mistral_table,pdf_text_tokens,no
37,AUXlLIARES DIVERSOS,4 611,69 OE 1,55 973,10 615 947,37 239 225,,,,,,,54,55,pdf_text_layout,pdf_text_layout_partial,yes
38,AUX. DA AGROPECUARIA E REFLORESTAMENTO,,,,,,137 201,6 213,4 546,122 993,202 308,754 266,54,55,mistral_table_partial,tesseract_por_review,yes
39,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",,,,,,564 704,5 022,3 soo,77 060,559 550,564 394,54,55,mistral_table_partial,pdf_text_layout,yes
40,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",51,223,166,35 351,279 372,,,,,,,54,55,mistral_table,pdf_text_tokens_partial,yes
41,AUXILIARES DOS TRANSPORTES,,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
42,"AUX. CONSTRUÇÃO, OBRAS, GEODESIA, ETC",,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_tokens_partial,yes
43,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",,,,,,40,63,297 191,4,230 954,49 041,54,55,mistral_table_partial,mistral_table,yes
44,AUX. PRESTADOS À EMPRESAS E PESSOAS,,,,,,493,2 666,31 708,24 75S,356 681 637,1 918 361 563,54,55,mistral_table_partial,pdf_text_layout,yes
45,AUXILIARES DA SAUOE,436,2 463,1 432,308 433,1 086 891,40a,424,2 001,1 257,18 625. 883,65 305 190,54,55,pdf_text_layout,pdf_text_layout,no
46,"COMPRA, VENDA, ADM!NISTRAÇÂO BENS !MOVEIS",793,370,890,1 327 560,6 232 346,S89,601,131,1 982,27 962 375,144 816 829,54,55,pdf_text_layout,pdf_text_layout,no
47,COMPRA E VE(<DA DE BE~S ]MOVEIS,".... , , ...... .",604,1 54 789,91 o 342,S79 370,264,272,148,61S,11 876 070,65 038 709,54,55,pdf_text_layout,pdf_text_layout,no
48,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",,,,,,325 329,1 983,1 367,16 086,305 798,778 120,54,55,mistral_table_partial,tesseract_por_review,yes
49,MATO GROSSO DO SUL,,,,,,,,,,,,54,55,mistral_table_partial,pdf_text_layout_partial,yes
50,ALOJAMENTO E ALIMENTACÂD,2 061,7 243,:; 044,350 923,2 006 392,2 062,2 085,7 263,527,37 202 473,170 931 521,54,55,pdf_text_layout,pdf_text_layout,no
51,ALOJAMENTO,367,2 099,1 171,111 667,493 478,318,327,2 176 569,14 131,", 26",54 435 174,54,55,mistral_table,pdf_text_layout,no
52,ALIMENTAÇÃO,,,,,,1 744,1 758,067,956,23 071 347,11·5 496 347,54,55,mistral_table_partial,pdf_text_layout,yes
53,"REPARAÇÂQ, MANUTENÇÂQ E INSTALAÇÃQ",409,697,2 506,3E2 455,465 859,564,584 673,2 447,32 224,520 101,014 814,54,55,pdf_text_layout,pdf_text_tokens,no
54,"REPARAÇ40, MANUTENÇAO E !NSTALAÇAO",409,697,2 506,362 459,465 859,564,584 673,2 4A7,32 224 S20,101,014 814,54,55,pdf_text_layout,pdf_text_layout,no
55,"PESSOAIS, DE HIGIENE E ESTETICA PESSOAL",268,674,307,48 192,154 371,302,309,870,47a,791 71 9,1a 145 02S,54,55,mistral_table,pdf_text_layout,no
56,PESSOAIS,115,286,107,18 689,87 560,12S,131,357,17&,201 602,8 795 09S,54,55,mistral_table,pdf_text_layout,no
57,HIGIENE E DE ESTETICA PESSOAL,153,388,200,29 503,68 811,177,176,513 300,590 117,9,349 930,54,55,mistral_table,pdf_text_tokens,no
58,"RADIODIFUSÃO, TELEVISÃO E DIVERSÕES",100,799,526,65 566,345 507,70,79 801,56a,6,914 418,25 245 199,54,55,mistral_table,pdf_text_layout,no
59,RADIODIFUSÃO E TELEVISÃO,26,438,292,44 638,244 772,32,38,651,4a3,5 971 326,22 189 019,54,55,mistral_table,pdf_text_layout,no
60,DIVERSÕES,74,361,234,20 928,100 735,36,41,1SO,85,943 090,3 056 180,54,55,mistral_table,pdf_text_layout,no
61,AUXILIARES DIVERSOS,985,7 239,5 214,882 027,2 872,989,", ,,,",9 655 427,106 916 218,31S,419 470,54,55,mistral_table,pdf_text_layout,no
62,AUX. DA AGROPECUARIA E REFLORESTAMENTO,108,1,336,979 276,923 948,45,75,1 756 283,33 940 305,89,690 337,54,55,mistral_table,pdf_text_layout,no
63,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",76,299,160,56 687,232 764,102 132,705 424,a 193 104,42,93S,32S,54,55,mistral_table,pdf_text_layout,no
64,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",10,10,10,3 159,73 121,,,,,,,54,55,mistral_table,pdf_text_layout_partial,yes
65,AUXILIARES DOS TRANSPORTES,90,779,536,97 949,457 084,61,93,800 666,9 637 87S,33,892 169,54,55,mistral_table,pdf_text_layout,no
66,"AUX. CONSTRUÇÃO, OBRAS, GEODESIA, ETC",55,408,240,52 693,230 713,588,613,363 322,42 534 010,",, 1 748",372,54,55,mistral_table,pdf_text_layout,no
67,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",23,514,468,21 211,49 887,33,33,43S,389,6 570 729,17 216 197,54,55,mistral_table,pdf_text_layout,no
68,AUX. PRESTADOS À EMPRESAS E PESSOAS,542,3 576,2,660 330,247 760,,,,,,,54,55,mistral_table,missing,yes
69,AUXILIARES DA SAÚDE,81,317,164,43 158,121 168,90,92,325,189,3 007 672,8 892 172,56,57,mistral_table,mistral_table,no
70,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMÓVEIS",132,666,333,94 343,537 921,115,117,495,300,4 643 013,17 354 535,56,57,mistral_table,mistral_table,no
71,COMPRA E VENDA DE BENS IMÓVEIS,90,455,227,73 712,466 560,48,50,212,132,2 631 392,7 264 984,56,57,mistral_table,mistral_table,no
72,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",42,209,106,20 631,69 361,67,67,284,168,2 211 621,9 989 541,56,57,mistral_table,mistral_table,no
73,CAMPO GRANDE,1 304,8 525,5 803,888 682,3 380 381,1 539,607,10 922,7 753,103 710 520,317 868 716,56,57,mistral_table,mistral_table,no
74,ALOJAMENTO E ALIMENTAÇÃO,358,1 817,1 113,102 881,570 701,450,456,2 132,1 327,12 081 065,51 070 400,56,57,mistral_table,mistral_table,no
75,ALOJAMENTO,66,602,438,39 909,179 546,74,77,824,667,6 181 904,22 826 146,56,57,mistral_table,mistral_table,no
76,ALIMENTAÇÃO,292,1 215,675,62 972,391 155,376,379,1 306,660,5 895 161,26 342 254,56,57,mistral_table,mistral_table,no
77,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",390,1 450,830,118 814,495 380,488,495,1 451,742,9 550 633,31 591 705,56,57,mistral_table,mistral_table,no
78,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",390,1 450,830,118 814,495 380,488,495,1 451,742,9 550 633,31 591 705,56,57,mistral_table,mistral_table,no
79,"PESSOAIS, DE HIGIENE E ESTÉTICA PESSOAL",101,286,149,19 514,69 446,135,136,444,274,3 515 742,8 890 187,56,57,mistral_table,mistral_table,no
80,PESSOAIS,40,115,56,7 358,37 852,40,40,144,92,1 044 345,3 911 665,56,57,mistral_table,mistral_table,no
81,HIGIENE E DE ESTÉTICA PESSOAL,61,171,93,12 156,31 594,95,96,300,182,2 471 397,4 978 522,56,57,mistral_table,mistral_table,no
82,"RADIODIFUSÃO, TELEVISÃO E DIVERSÕES",18,277,203,31 999,227 544,18,20,270,179,1 944 734,9 105 492,56,57,mistral_table,mistral_table,no
83,RADIODIFUSÃO E TELEVISÃO,7,202,144,27 499,196 975,6,7,233,158,1 700 742,8 468 218,56,57,mistral_table,mistral_table,no
84,DIVERSÕES,11,75,59,4 530,30 569,12,13,37,21,243 992,637 274,56,57,mistral_table,mistral_table,no
85,AUXILIARES DIVERSOS,371,4 317,3 313,559 407,1 696 232,383,435,6 293,5 011,73 250 958,204 998 704,56,57,mistral_table,mistral_table,no
86,AUX. DA AGROPECUÁRIA E REFLORESTAMENTO,19,821,666,210 720,473 584,8,15,1 220,858,28 895 020,58 991 092,56,57,mistral_table,mistral_table,no
87,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",49,221,129,45 912,205 736,71,91,549,336,6 795 544,39 176 080,56,57,mistral_table,mistral_table,no
88,"AUX. FINANCIA, SEGUROS E CAPITALIZAÇÃO",6,10,7,3 159,73 121,6,8,31,16,301 954,2 772 348,56,57,mistral_table,mistral_table,no
89,AUXILIARES DOS TRANSPORTES,42,367,192,40 544,248 882,35,42,387,287,4 481 327,15 097 166,56,57,mistral_table,mistral_table,no
90,"AUX. CONSTRUÇÃO, OBRAS, GEOGESIA, ETC",34,303,188,29 778,153 841,25,25,121,76,1 076 180,4 832 880,56,57,mistral_table,mistral_table,no
91,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",14,396,366,15 877,38 866,20,20,1 183,1 156,5 495 093,15 058 518,56,57,mistral_table,mistral_table,no
92,AUX. PRESTADOS A EMPRESAS E PESSOAS,183,2 075,1 701,187 429,451 694,193,208,2 663,2 191,24 678 793,65 362 668,56,57,mistral_table,mistral_table,no
93,AUXILIARES DA SAÚDE,24,124,64,18 988,50 508,25,26,139,91,1 327 047,3 707 952,56,57,mistral_table,mistral_table,no
94,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMÓVEIS",66,378,195,56 067,321 078,65,65,332,220,3 367 388,12 212 228,56,57,mistral_table,mistral_table,no
95,COMPRA E VENDA DE BENS IMÓVEIS,42,259,131,42 566,271 076,26,27,149,106,1 812 096,5 149 914,56,57,mistral_table,mistral_table,no
96,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",24,119,64,13 501,50 002,39,38,183,114,1 555 292,7 062 314,56,57,mistral_table,mistral_table,no
97,DOURADOS,289,1 642,854,139 158,639 656,386,410,1 961,1 303,15 981 166,57 234 054,56,57,mistral_table,mistral_table,no
98,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",109,452,257,40 068,105 566,130,133,527,333,3 277 083,11 128 453,56,57,mistral_table,mistral_table,no
99,RADIODIFUSÃO E TELEVISÃO,4,40,18,2 424,6 855,4,6,125,88,2 374 302,7 642 891,56,57,mistral_table,mistral_table,no
100,AUX. PRESTADOS A EMPRESAS E PESSOAS,49,219,145,22 880,47 615,61,66,364,264,3 778 085,9 902 685,56,57,mistral_table,mistral_table,no
101,DEMAIS GÊNEROS,227,931,434,73 786,479 420,191,205,945,618,6 551 696,28 560 025,56,57,mistral_table,mistral_table,no
102,AGUA CLARA,16,95,74,11 844,105 654,12,14,45,25,247 300,2 140 883,56,57,mistral_table,mistral_table,no
103,AMAMBAI,202,605,244,43 986,153 584,229,232,793,418,8 039 386,18 908 876,56,57,mistral_table,mistral_table,no
104,ANASTÁCIO,27,78,36,5 988,23 349,21,22,65,32,273 529,2 491 296,56,57,mistral_table,mistral_table,no
105,ANAURILANDIA,30,68,14,2 487,15 635,37,37,60,14,296 783,1 339 686,56,57,mistral_table,mistral_table,no
106,ANGÉLICA,23,61,12,3 679,10 245,13,13,17,4,44 950,443 500,56,57,mistral_table,mistral_table,no
107,ANTÔNIO JOÃO,18,53,27,3 632,9 969,31,31,103,50,1 179 170,4 012 849,56,57,mistral_table,mistral_table,no
108,APARECIDA DO TABOADO,59,161,65,11 667,56 868,69,69,201,94,1 086 386,3 862 326,56,57,mistral_table,mistral_table,no
109,AQUIDAUANA,144,530,243,26 057,129 512,87,88,221,98,1 075 737,5 063 659,56,57,mistral_table,mistral_table,no
110,ARAL MOREIRA,19,48,18,3 642,11 618,9,11,27,15,237 146,708 724,56,57,mistral_table,mistral_table,no
111,BANDEIRANTES,6,38,31,2 774,6 108,22,22,52,19,154 968,1 199 871,56,57,mistral_table,mistral_table,no
112,BATAQUASSU,42,145,74,8 916,57 124,31,32,97,35,394 991,1 990 196,56,57,mistral_table,mistral_table,no
113,BATAIPORÃ,20,57,11,1 885,9 817,20,20,55,20,143 031,481 285,56,57,mistral_table,mistral_table,no
114,BELA VISTA,41,122,44,5 333,26 302,63,65,188,89,1 371 976,4 326 200,56,57,mistral_table,mistral_table,no
115,BODOQUENA,-,-,-,-,-,8,8,10,2,38 953,434 784,56,57,mistral_table,mistral_table,no
116,BONITO,37,91,44,5 769,34 508,32,32,114,47,327 228,2 014 995,56,57,mistral_table,mistral_table,no
117,BRASILANDIA,25,74,27,4 137,15 445,32,32,175,125,1 632 785,3 507 631,56,57,mistral_table,mistral_table,no
118,CAARAPO,95,280,113,16 353,46 852,78,80,204,94,1 398 886,3 989 770,56,57,mistral_table,mistral_table,no
119,CAMAPUÃ,96,287,125,21 883,130 309,61,64,193,100,1 288 919,4 776 932,56,57,mistral_table,mistral_table,no
120,CARACOL,3,7,3,487,1 720,9,9,26,10,111 800,420 095,56,57,mistral_table,mistral_table,no
121,CASSILANDIA,74,260,135,17 387,76 691,68,71,254,153,1 526 562,6 727 970,56,57,mistral_table,mistral_table,no
122,CORQUINHO,2,(B),(A),(X),(A),,,,,,,56,57,mistral_table,pdf_text_layout_partial,yes
123,CORUMBA,298,1 315,726,92 479,507 102,262,274,1 239,796,8 974 577,28 358 936,56,57,mistral_table,mistral_table,no
124,COSTA RICA,-,-,-,-,-,40,40,109,49,711 457,2 453 777,56,57,mistral_table,mistral_table,no
125,COXIM,121,432,261,30 291,106 905,97,99,331,178,1 368 582,5 290 270,56,57,mistral_table,mistral_table,no
126,DEODAPOLIS,32,89,31,3 574,15 209,40,40,93,25,362 616,1 638 175,56,57,mistral_table,mistral_table,no
127,DOURADINA,-,-,-,-,-,10,10,30,11,397 100,1 336 000,56,57,mistral_table,mistral_table,no
128,,,,,,,,,,,,,56,57,missing,missing,yes
129,"J:""ATlMA DO SUL",297,11:::,20 €19,B1,573,101,101,246,97,1 334 806,4 617 873,58,59,pdf_text_layout,mistral_table,no
130,GLORIA OE DOURADOS,65 207,51,12,67E,47 796,58,60,171,59,1 029 486,3 354 724,58,59,pdf_text_tokens,mistral_table,no
131,GUIA LOPES DA LAGUNA .. 1S 5<,27,2,444,16,656,14,14,44,14,374 605,1 490 031,58,59,pdf_text_tokens,mistral_table,no
132,IGUATEMI,,,,,,52,54,116,40,695 433,2 453 859,58,59,mistral_table_partial,mistral_table,yes
133,lNOCENCIA,10,27,12,895,7 582,14,14,43,9,325 649,1 158 305,58,59,pdf_text_tokens,mistral_table,no
134,ITAPORA,101,(E),2,847,12 418,36,37,110,51,378 544,1 874 509,58,59,tesseract_por_review,mistral_table,no
135,ITAQUIRAI,,,,,,17,17,39,7,100 558,560 724,58,59,mistral_table_partial,mistral_table,yes
136,"IVINHEMA . . . . . . . . . , 6C",21,5,11,2 210,93 638,56,56,189,81,881 551,3 139 516,58,59,pdf_text_tokens,mistral_table,no
137,JARAGUARI,30,(E),867,13,449,4,4,6,-,31 137,338 990,58,59,pdf_text_tokens,mistral_table,no
138,JARDIM,62,216,93,662,55 388,78,80,294,153,3 804 607,8 987 841,58,59,pdf_text_tokens,mistral_table,no
139,JATEI,,,,,,5,5,10,-,18 716,113 636,58,59,mistral_table_partial,mistral_table,yes
140,LADARlO,15,55,26,2 5•,12 186,3,3,6,1,30 500,69 831,58,59,pdf_text_layout,mistral_table,no
141,MARACAJU,90 276,29,23,39E,98 427,84,90,255,122,1 458 117,7 882 373,58,59,pdf_text_tokens,mistral_table,no
142,MIRANDA,171,46,6,206,37 095,66,67,170,67,520 801,4 808 329,58,59,pdf_text_tokens,mistral_table,no
143,MUNDO NOVO,1 25,350,112,2 1 52A,63 716,86,91,247,99,1 183 651,6 077 962,58,59,pdf_text_layout,mistral_table,no
144,NAVIRAI,143,501,252,33 476,155 491,108,110,331,147,1 788 331,7 008 420,58,59,tesseract_por_review,mistral_table,no
145,N 1 OAQUE,19,51,",.",008,", 2 679",7,8,23,10,106 173,460 551,58,59,pdf_text_layout,mistral_table,no
146,NOVA ANORAOINA,86,366',231,31 026,147 573,88,91,309,178,2 516 772,8 325 645,58,59,pdf_text_tokens,mistral_table,no
147,PARANAIBA,11,5,227,33 994,105 103,106,108,368,177,3 924 516,10 149 525,58,59,pdf_text_tokens,mistral_table,no
148,PEDRO GOMES,30,96,46,266,16 792,28,29,87,49,653 193,2 259 672,58,59,pdf_text_tokens,mistral_table,no
149,PONTA PORÃ,209,83•,465,77 453,345 300,198,208,785,485,6 029 543,25 497 876,58,59,pdf_text_tokens,mistral_table,no
150,PORTO MURTlNHO,26,155,9E,7 384,26 512,10,10,104,82,1 034 484,3 228 694,58,59,pdf_text_tokens,mistral_table,no
151,R 1 BAS DO R 1 O PARDO,13,33,",",366,3 852,21,23,311,245,2 031 692,7 792 168,58,59,pdf_text_layout,mistral_table,no
152,RIO BRILMANTE,50,168,97,12 382,53 073,45,52,202,128,1 508 086,8 257 884,58,59,tesseract_por_review,mistral_table,no
153,RIO NEGRO,,,,,,14,14,24,7,66 989,421 446,58,59,mistral_table_partial,mistral_table,yes
154,RIO VERDE DE MATO GROSSO,71,21<,60,18 728,73 284,37,39,99,36,407 016,2 687 692,58,59,pdf_text_tokens,mistral_table,no
155,ROCHEDO,5,16,7,574,1 416,9,9,16,-,26 620,340 514,58,59,tesseract_por_review,mistral_table,no
156,SÃO GABRIEL DO OESTE,-,-,-,-,-,38,40,151,87,714 613,3 104 287,58,59,tesseract_por_review,mistral_table,no
157,SETE QUEDAS,-,-,-,-,-,40,40,129,69,631 152,4 025 003,58,59,tesseract_por_review,mistral_table,no
158,SELVIRIA,-,-,-,-,-,14,14,35,17,204 855,1 034 374,58,59,tesseract_por_review,mistral_table,no
159,SIDROLANDIA,,,,,,23,27,110,52,696 520,2 780 558,58,59,mistral_table_partial,mistral_table,yes
160,TACURU,-,-,-,-,-,9,9,27,12,79 730,561 800,58,59,tesseract_por_review,mistral_table,no
161,TAQUARUSSU,-,-,-,-,-,11,11,21,4,69 085,305 039,58,59,tesseract_por_review,mistral_table,no
162,TERENOS .•. ',19,60,31,168,13 757,10,10,34,9,81 912,446 213,58,59,pdf_text_tokens,mistral_table,no
163,TRES LAGOAS,260,903,404,65 897,223 420,222,224,824,458,6 447 413,24 802 105,58,59,pdf_text_tokens,mistral_table,no
164,MATO GROSSO,736,15 912,8 682,1 566 721,7 407 692,4 928,5 112,20 931,12 697,211 026 015,692 119 117,58,59,pdf_text_layout,mistral_table,no
165,ALOJAMENTO E ALIMENTAÇÃO,,,,,,2 338,2 363,7 703,3 839,47 939 851,209 568 681,58,59,mistral_table_partial,mistral_table,yes
166,ALOJAMENTO,2,107,1 068,141 437,667 172,358,372,2 046,1 251,13 251 215,47 674 959,58,59,tesseract_por_review,mistral_table,no
167,ALIMENTAÇÃO,,,,,,1 980,1 991,5 657,2 588,34 688 636,161 893 722,58,59,mistral_table_partial,mistral_table,yes
168,"REPARAÇÂQ, MANUTENÇÃQ E lNSTALAÇÃQ",937,3 348,954,334 283,057 097,1 380,1 391,4 600,2 680,45 024 087,129 169 248,58,59,pdf_text_layout,mistral_table,no
169,"REPARAÇAO, MANUTENÇAO E INSTALAÇAO",937,3 348,954,334 283,057 097,1 380,1 391,4 600,2 680,45 024 087,129 169 248,58,59,pdf_text_layout,mistral_table,no
170,"PESSOAIS, DE HIGIENE E ESTETlCA PESSOAL",2ÔO,523,257,47 240,152 790,310,316,884,479,8 271 439,19 419 623,58,59,pdf_text_layout,mistral_table,no
171,"PESSOAIS •. ,, .. , . • . . . , ..• , •. , . • . . . . . . . • . . . · .. · · · · · · • · • • · · '64",210,86,18,17~,84 933,115,117,343,174,2 752 414,7 869 335,58,59,pdf_text_tokens,mistral_table,no
172,HIGIENE E DE ESTETlCA PESSOAL,11 6,313,171,29 064,67 857,195,199,541,305,5 519 025,11 550 288,58,59,pdf_text_layout,mistral_table,no
173,"RADIODIFUSÃO, TELCVISÂO_E DIVERSÕES",75,441 277,so,i37,294 075,76,80,720,561,9 761 209,33 988 639,58,59,pdf_text_tokens,mistral_table,no
174,RADIODIFUSÃO E TELEVISÃO,,,,,,14,17,504,436,7 940 411,27 958 702,58,59,mistral_table_partial,mistral_table,yes
175,Dl VERSÕES,63,226,124,22 689,138 792,62,63,216,125,1 820 798,6 029 937,58,59,pdf_text_layout,mistral_table,no
176,AUXILIARES DIVERSOS,619,A A18,200,609 397,2 260 165,745,880,6 688,4 966,96 748 902,279 635 639,58,59,pdf_text_layout,mistral_table,no
177,AUX. DA AGROPECUARIA E REFLORESTAMENTO,,,,,,24,34,931,636,35 028 746,57 691 898,58,59,mistral_table_partial,mistral_table,yes
178,"AUX. FINANC., SEGUROS",,,,,,88,88,1595,450,8 769 060,52 047 378,60,61,tesseract_por_review_partial,mistral_table,yes
179,"AUX. FINANCI, SEGUROS E CAPITALIZAÇÃO",4,13,6,6,1 576,,,,,,,60,61,mistral_table,missing,yes
180,AUXILIARES DOS TRANSPORTES,80,504,1,1,290 836,47,111,1 214,890,17 935 136,37 114 677,60,61,mistral_table,mistral_table,no
181,"AUX. CONSTRUÇÃO, OBRAS, GEODÉSIA, ETC",43,283,166,43 528,210 117,,,,,,,60,61,mistral_table,missing,yes
182,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",3,195,183,18 472,46 465,,,,,,,60,61,mistral_table,missing,yes
183,AUX. PRESTAÇÃO A EMPRESAS E PESSOAS,312,2 349,1 816,242 241,599 340,461,507,3 225,2 520,27 257 864,69 721 038,60,61,mistral_table,mistral_table,no
184,AUXILIARES DA SAÚDE,42,161,90,24 857,84 696,56,59,221,128,2 347 237,6 829 666,60,61,mistral_table,mistral_table,no
185,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMÓVEIS",106,724,431,116 533,1 271 774,79,82,336,172,3 280 527,20 337 287,60,61,mistral_table,mistral_table,no
