order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_production_1980,salaries_withdrawals_other_compensation_1980_mil_cruzeiros,gross_production_value_1980_mil_cruzeiros,industrial_transformation_value_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_production_1985,salaries_withdrawals_other_compensation_1985_mil_cruzeiros,gross_production_value_1985_mil_cruzeiros,industrial_transformation_value_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
18,TEXTIL,7 177,417 750,348 224,58 695 563,634 946 815,257 835 863,3 814,5 570,351 360,296 196,4 501 530 660,61 887 669 456,28 434 008 601,4,5,mistral_table,mistral_table,no
19,VESTUÁRIO,20 571,492 863,410 530,48 172 080,377 802 507,195 750 623,21 688,23 200,655 234,560 662,5 552 313 929,47 485 497 411,24 748 680 004,4,5,mistral_table,mistral_table,no
20,ALIMENTARES,46 662,724 213,490 214,86 311 627,1 580 985 683,479 457 327,36 690,43 034,733 199,505 698,8 555 562 476,172 320 771 707,97 405 540 462,4,5,mistral_table,mistral_table,no
21,BEBIDAS,3 216,77 021,46 092,14 218 331,112 006 572,55 559 135,2 189,2 798,77 167,47 725,1 261 270 854,11 485 924 889,5 936 149 714,4,5,mistral_table,mistral_table,no
22,FUMO,580,29 527,21 772,7 006 654,59 696 294,31 462 531,143,434,27 924,15 990,725 922 476,6 378 669 516,3 637 174 155,4,5,mistral_table,mistral_table,no
23,GRAFICA,9 081,169 883,101 427,34 415 147,156 882 437,103 891 041,8 008,9 053,164 523,101 721,2 828 278 608,14 448 553 199,9 278 233 948,4,5,mistral_table,mistral_table,no
24,DIVERAS,6 518,170 988,128 197,29 050 688,176 918 866,109 864 243,5 261,6 181,168 954,129 973,2 517 577 579,19 470 879 671,12 797 176 447,4,5,mistral_table,mistral_table,no
25,REGIÃO CENTRO-OESTE,12 540,115 088,76 941,12 775 132,126 251 202,53 026 055,9 976,11 234,122 304,86 490,1 286 481 470,15 849 379 265,7 019 938 389,4,5,mistral_table,mistral_table,no
26,EXTRATIVA MINERAL,707,8 999,5 146,1 452 803,6 463 397,5 337 350,96,129,6 092,4 958,119 890 324,744 252 814,470 215 879,4,5,mistral_table,mistral_table,no
27,TRANSFORMAÇÃO,11 827,105 972,70 678,11 288 303,121 727 317,47 633 674,9 880,11 105,116 212,81 532,1 166 591 146,15 105 126 451,6 549 722 510,4,5,mistral_table,mistral_table,no
28,NAD METALICOS,2 663,19 962,13 901,1 850 701,17 811 218,9 164 868,1 525,1 654,16 755,11 874,150 774 580,1 778 100 748,1 119 933 863,4,5,mistral_table,mistral_table,no
29,MALURGICA,800,7 437,5 178,808 566,4 766 574,2 454 510,761,815,6 069,4 199,59 053 218,727 975 706,471 585 625,4,5,mistral_table,mistral_table,no
30,MECANICA,330,5 042,3 930,827 845,2 070 867,1 567 300,316,407,4 962,3 954,68 378 375,201 051 128,154 271 973,4,5,mistral_table,mistral_table,no
31,MATERIAL ELETRICO,3 216,1 628,1 016,1 347 897,1 347 897,1 347 345,69,120,2 363,1 491,58 707 498,322 187 004,252 316 027,4,5,mistral_table,mistral_table,no
32,TRANSPORTE,170,2 253,1 571,320 254,1 325 597,798 713,176,201,2 254,1 685,21 822 487,107 201 476,70 147 229,4,5,mistral_table,mistral_table,no
33,MADEIRA,1 924,17 969,12 900,1 429 133,11 455 824,5 780 356,1 466,1 549,14 359,11 389,97 410 158,717 753 932,408 048 490,4,5,mistral_table,mistral_table,no
34,MOBILIARIO,740,4 360,2 815,369 052,2 393 497,1 432 458,900,926,5 608,3 845,35 557 469,204 824 919,91 350 722,4,5,mistral_table,mistral_table,no
35,PAPEL E PAPELÃO,20,903,226,36 991,368 107,123 912,17,29,433,287,6 774 207,55 300 642,31 422 719,4,5,mistral_table,mistral_table,no
36,BORRACHA,45,586,394,71 994,682 743,375 961,42,60,627,8 845,469,73 174 214,25 833 201,4,5,mistral_table,mistral_table,no
37,COUROS E PELES,46,376,280,30 996,641 910,127 213,97,48,570,457,4 484 298,117 002 501,30 736 923,4,5,mistral_table,mistral_table,no
38,QUÍMICA,109,1 766,880,435 206,2 852 212,1 708 980,54,166,5 939,3 854,107 193 011,1 424 854 377,736 026 137,4,5,mistral_table,mistral_table,no
39,PARMACEUTICA,33,787,463,147 872,547 397,293 609,9,33,1 035,539,22 748 621,94 731 855,61 447 596,4,5,mistral_table,mistral_table,no
40,PERFUMÁRIA,1 192,1 444,42,14 634,122 082,102 402,14,21,186,86,2 991 146,18 020 460,9 482 742,4,5,mistral_table,mistral_table,no
41,MATS. PLASTICAS,31,400,264,54 935,377 519,191 549,33,39,582,399,6 331 788,69 962 588,36 297 532,4,5,mistral_table,mistral_table,no
42,TEXTIL,24,1 293,1 161,119 386,3 182 231,1 262 200,16,36,2 119,1 801,21 687 962,505 842 699,157 213 992,4,5,mistral_table,mistral_table,no
43,VESTUÁRIO,647,3 933,2 724,273 390,1 575 942,752 338,745,771,6 681,5 032,40 107 394,276 846 497,132 727 382,4,5,mistral_table,mistral_table,no
44,ALIMENTARES,3 338,27 504,17 147,2 435 361,92 346 001,15 888 975,3 009,402,33 837,22 780,301 085 329,7 662 074 154,2 316 061 774,4,5,mistral_table,mistral_table,no
45,BEBIDAS,91,2 641,1 578,447 184,3 428 995,1 832 601,39,71,2 731,1 874,40 933 080,390 573 466,207 313 317,4,5,mistral_table,mistral_table,no
46,FUMO,16,351,118,96 392,49 208,20 386,2,7,312,22,8 918 553,3 119 013,1 902 092,4,5,mistral_table,mistral_table,no
47,GRAFICA,489,5 605,3 214,935 949,3 298 335,2 178 923,507,584,7 513,4 684,91 132 411,319 108 882,210 059 999,4,5,mistral_table,mistral_table,no
48,DIVERAS,209,1 588,876,193 708,770 161,509 075,143,166,1 113,659,11 654 092,35 422 190,23 863 175,4,5,mistral_table,mistral_table,no
49,MATO GROSSO DO SUL,2 671,25 752,17 872,2 081 973,29 700 114,10 747 680,2 036,2 309,22 980,16 447,202 507 053,3 275 580 597,1 177 120 292,4,5,mistral_table,mistral_table,no
50,EXTRATIVA MINERAL,39,834,655,126 795,455 110,348 645,17,23,533,452,7 516 792,67 811 707,53 047 803,4,5,mistral_table,mistral_table,no
51,TRANSFORMAÇÃO,2 632,24 918,17 217,1 955 178,29 245 004,10 399 035,2 019,2 286,22 447,15 995,194 990 261,3 207 768 890,1 124 072 489,4,5,mistral_table,mistral_table,no
52,NAD METALICOS,625,4 605,2 924,318 165,2 935 756,339 418,339,378,3 454,2 192,25 457 704,246 886 476,147 183 884,4,5,mistral_table,mistral_table,no
53,METALURGICA,138,970,661,66 523,689 862,359 917,153,165,1 177,831,7 664 466,83 164 233,48 631 212,4,5,mistral_table,mistral_table,no
54,MECANICA,120,1 445,1 154,151 147,448 374,319 695,99,121,973,750,11 174 376,36 061 096,25 373 814,4,5,mistral_table,mistral_table,no
55,MATERIAL ELETRICO,8,30,18,19 592,8 599,7 231,7,14,158,116,1 459 500,11 064 013,7 709 854,4,5,mistral_table,mistral_table,no
56,TRANSPORTE,44,474,336,40 417,436 212,119 042,53,55,574,410,3 964 701,17 019 715,8 650 187,4,5,mistral_table,mistral_table,no
57,MADEIRA,573,8 485,6 375,576 592,6 162 390,2 571 200,341,365,4 582,3 820,25 795 290,198 045 236,94 172 338,4,5,mistral_table,mistral_table,no
58,MOBILIARIO,129,753,517,54 450,336 018,209 165,143,149,738,484,4 873 009,16 089 250,8 729 542,4,5,mistral_table,mistral_table,no
59,PAPEL E PAPELÃO,-,-,-,-,-,-,1,2,(A),(A),(X),(A),(X),4,5,mistral_table,mistral_table,no
60,BORRACHA,-,98,77,11 124,97 934,70 968,9,10,123,97,1 031 805,5 852 377,2 280 495,4,5,mistral_table,mistral_table,no
61,COUROS E PELES,8,41,28,3 215,228 349,15 629,9,11,111,94,970 016,35 679 837,4 432 265,4,5,mistral_table,mistral_table,no
62,QUÍMICA,27,488,336,130 093,1 212 250,887 908,10,44,1 651,1 073,30 100 477,514 662 665,254 712 762,4,5,mistral_table,mistral_table,no
63,PARMACEUTICA,3,71,3,2 152,2 628,2 628,1,6,52,32,381 819,2 420 116,1 913 084,4,5,mistral_table,mistral_table,no
64,PERFUMÁRIA,1,(A),(A),(A),(A),(A),3,4,13,6,73 080,628 281,463 701,4,5,mistral_table,mistral_table,no
65,MATS. PLASTICAS,1,(C),(C),(C),(C),(C),3,78,60,60,635 481,6 997 954,2 662 452,4,5,mistral_table,mistral_table,no
66,TEXTIL,5,77,47,17 781,847 206,295 792,5,15,307,174,5 854 062,195 716 215,55 951 158,4,5,mistral_table,mistral_table,no
67,VESTUÁRIO,58,400,245,21 913,91 705,55 956,97,98,301,301,2 698 936,15 218 409,9 035 716,4,5,mistral_table,mistral_table,no
68,ALIMENTARES,664,5 576,3 529,424 081,15 306 793,3 705 855,573,655,6 306,4 388,58 538 479,1 750 000 935,413 148 431,4,5,mistral_table,mistral_table,no
69,BEBIDAS,15,237,179,19 823,244 505,120 742,7,14,199,182,2 039 938,31 131 699,13 097 233,4,5,mistral_table,mistral_table,no
70,FUMO,1,(D),(D),(D),(A),(A),-,1,(D),(A),(X),(A),(X),4,5,mistral_table,mistral_table,no
71,GRAFICA,113,957,623,80 473,377 149,264 014,143,151,1 321,896,10 400 851,38 311 505,24 067 659,4,5,mistral_table,mistral_table,no
72,DIVERAS,49,224,122,16 259,78 197,46 979,23,25,153,89,780 521,2 609 158,1 649 002,4,5,mistral_table,mistral_table,no
73,CAMPO GRANDE,507,5 528,3 968,540 222,10 140 556,3 261 382,401,511,6 379,4 523,69 156 852,1 118 774 951,379 593 049,4,5,mistral_table,mistral_table,no
74,EXTRATIVA MINERAL,7,30,14,2 715,13 657,10 048,1,2,(C),(C),(X),(D),(X),4,5,mistral_table,mistral_table,no
75,TRANSFORMAÇÃO,500,5 498,3 954,537 507,10 126 899,3 251 334,400,509,(F),(F),(X),(G),(X),4,5,mistral_table,mistral_table,no
76,NAD METALICOS,71,689,470,73 120,453 470,298 177,25,48,616,403,5 831 050,32 417 801,22 351 098,4,5,mistral_table,mistral_table,no
77,METALURGICA,56,336,206,28 094,218 732,95 352,62,66,521,372,4 159 750,38 423 036,27 157 566,6,7,mistral_table,mistral_table,no
78,MECANICA,35,449,324,55 545,176 288,128 745,31,41,391,297,5 110 276,15 432 634,11 446 098,6,7,mistral_table,mistral_table,no
79,MATERIAL ELÉTRICO,5,8,3,2 192,4 351,3 278,5,11,143,104,1 349 522,10 556 488,7 255 876,6,7,mistral_table,mistral_table,no
80,TRANSPORTE,18,257,186,23 686,113 359,88 780,,,,,,,,6,7,mistral_table,missing,yes
81,MADEIRA,15,126,94,9 695,34 684,24 723,7,6,76,67,439 776,2 053 284,1 058 559,6,7,mistral_table,mistral_table,no
82,MOBILIARIO,45,395,272,27 897,135 890,72 153,43,47,238,162,2 014 635,5 378 532,2 925 214,6,7,mistral_table,mistral_table,no
83,PAPEL E PAPELÃO,,,,,,,,,,,,,,6,7,mistral_table_partial,mistral_table_partial,yes
84,BORRACHA,4,38,34,6 424,60 575,48 102,2,3,37,26,561 768,1 544 416,306 391,6,7,mistral_table,mistral_table,no
85,COUROS E PELES,4,26,19,2 794,225 464,14 584,1,3,81,80,814 028,34 383 496,4 037 594,6,7,mistral_table,mistral_table,no
86,QUÍMICA,13,237,167,66 043,558 972,557 157,3,23,299,135,10 128 136,139 221 124,55 305 356,6,7,mistral_table,mistral_table,no
87,FARMACÊUTICA,3,7,3,2 152,2 628,2 628,1,6,52,32,381 819,2 420 116,1 913 084,6,7,mistral_table,mistral_table,no
88,MATS. PLÁSTICAS,2,(C),(C),(X),(C),(X),2,2,(E l,(E l,<X),< F l,(X),6,7,mistral_table,pdf_text_layout,no
89,VESTUÁRIO,34,176,115,10 007,39 363,22 155,36,36,233,172,1 348 415,7 093 907,4 087 036,6,7,mistral_table,mistral_table,no
90,ALIMENTARES,119,1 963,1 498,143 408,7 624 291,1 593 112,106,130,2 392,1 811,25 327 096,769 054 441,211 532 591,6,7,mistral_table,mistral_table,no
91,BEBIDAS,6,114,81,12 034,163 961,85 670,3,3,104,93,1 458 134,20 471 540,8 573 420,6,7,mistral_table,mistral_table,no
92,FUMO,1,(D),(D),(X),(A),(X),,,,,,,,6,7,mistral_table,mistral_table_partial,yes
93,GRAFICA,44,522,352,48 515,243 784,175 227,48,55,749,505,6 460 172,23 169 706,13 918 879,6,7,mistral_table,mistral_table,no
94,DIVERSAS,25,147,88,11 587,61 667,36 895,11,12,76,31,430 966,1 156 637,714 718,6,7,mistral_table,mistral_table,no
95,DOURADOS,226,2 273,1 529,179 414,3 851 598,1 358 633,151,183,1 760,1 278,18 180 575,418 970 259,105 411 230,6,7,mistral_table,mistral_table,no
96,MECANICA,20,(F),(F),(X),(E),(X),17,21,142,93,1 399 935,7 343 355,5 393 756,6,7,mistral_table,mistral_table,no
97,MADEIRA,21,398,305,23 287,311 749,102 853,13,13,156,129,817 030,5 823 312,3 179 604,6,7,mistral_table,mistral_table,no
98,QUÍMICA,6,41,23,11 761,161 648,68 089,-,5,32,-,1 299 723,7 489 907,7 489 507,6,7,mistral_table,mistral_table,no
99,TEXTIL,1,(D),(C),(X),(F),(X),2,278,1 079,67,1 663 977,49 281 876,16 872 067,6,7,mistral_table,mistral_table,no
100,ALIMENTARES,48,735,471,68 848,2 741 065,854 718,35,50,719,509,8 975 246,334 687 902,60 989 125,6,7,mistral_table,mistral_table,no
101,DEMAIS GÉNEROS,130,896,598,55 092,333 736,214 225,80,90,632,480,4 027 664,18 344 300,11 487 171,6,7,mistral_table,mistral_table,no
102,AGUA CLARA,1,(A),(A),(X),(A),(X),,,,,,,,6,7,mistral_table,mistral_table_partial,yes
103,AMAMBAI,108,1 494,1 118,97 410,940 524,456 683,63,90,738,560,4 713 797,33 526 891,17 698 410,6,7,mistral_table,mistral_table,no
104,ANASTÁCIO,40,598,422,43 494,1 602 729,250 438,60,63,688,584,6 059 945,162 043 545,22 419 026,6,7,mistral_table,mistral_table,no
105,ANAURLANDIA,10,54,33,1 391,15 136,9 286,10,10,32,19,206 893,491 735,222 547,6,7,mistral_table,mistral_table,no
106,ANGÉLICA,53,314,199,18 334,109 515,55 629,25,27,176,110,894 130,3 172 601,1 735 160,6,7,mistral_table,mistral_table,no
107,ANTONIO JOÃO,12,64,36,4 311,51 150,17 922,13,13,52,32,269 767,1 526 392,551 354,6,7,mistral_table,mistral_table,no
108,APARECIDA DO TABOADO,112,556,300,34 640,179 805,60 636,80,83,575,294,3 270 944,41 535 392,22 778 864,6,7,mistral_table,mistral_table,no
109,AQUIDAUANA,54,350,224,22 060,219 309,100 835,45,55,341,241,1 902 253,19 035 343,7 070 594,6,7,mistral_table,mistral_table,no
110,ARAL MOREIRA,18,239,178,16 064,132 644,58 837,11,11,47,35,349 560,1 437 020,696 874,6,7,mistral_table,mistral_table,no
111,BANDEIRANTES,4,12,6,412,10 809,3 964,,,,,,,,6,7,mistral_table,mistral_table_partial,yes
112,BATAQUASSU,35,180,106,12 101,68 871,42 032,19,19,116,75,415 758,3 032 723,1 105 940,6,7,mistral_table,mistral_table,no
113,BATAIPORA,22,202,147,18 207,69 489,27 499,10,11,88,64,400 456,3 153 123,1 176 337,6,7,mistral_table,mistral_table,no
114,BELA VISTA,27,195,141,11 942,205 651,182 405,30,31,272,221,1 818 016,22 041 144,9 225 449,6,7,mistral_table,mistral_table,no
115,BODOQUENA,-,-,-,-,-,-,7,7,89,82,309 147,8 193 221,7 192 183,6,7,mistral_table,mistral_table,no
116,BONITO,12,93,64,6 162,56 360,36 654,15,17,160,127,752 976,10 874 097,7 418 178,6,7,mistral_table,mistral_table,no
117,BRASILANDIA,49,345,200,18 832,56 046,34 802,43,43,392,230,2 071 136,87 862 657,43 842 052,6,7,mistral_table,mistral_table,no
118,CAARAPO,65,773,547,49 895,503 286,203 068,45,46,569,491,3 790 289,80 208 807,18 892 318,6,7,mistral_table,mistral_table,no
119,CAMAPUÁ,25,119,67,9 287,97 944,53 980,12,13,104,68,574 564,6 309 383,1 739 930,6,7,mistral_table,mistral_table,no
120,CARACOL,3,13,9,304,831,473,3,3,21,15,83 098,336 262,311 362,6,7,mistral_table,mistral_table,no
121,CASSILANDIA,38,167,70,8 323,81 062,22 108,33,34,175,100,1 240 178,7 801 452,2 406 479,6,7,mistral_table,mistral_table,no
122,CORQUINHO,4,37,28,4 468,7 421,5 492,3,3,12,9,137 342,350 712,314 048,6,7,mistral_table,mistral_table,no
123,CORUMBA,131,2 003,1 443,226 805,2 533 518,940 154,51,68,1 401,1 056,17 740 515,242 192 919,147 490 313,6,7,mistral_table,mistral_table,no
124,COSTA RICA,-,-,-,-,-,-,14,15,44,21,332 909,3 016 492,1 606 263,6,7,mistral_table,mistral_table,no
125,COXIM,54,294,187,18 629,108 733,39 657,36,37,157,96,714 088,11 688 952,4 088 803,6,7,mistral_table,mistral_table,no
126,DEODAPOLIS,17,103,60,3 987,59 628,21 803,12,15,90,11,487 685,1 286 595,727 056,6,7,mistral_table,mistral_table,no
127,DOURADINA,-,-,-,-,-,-,4,4,7,2,98 000,328 500,172 000,6,7,mistral_table,mistral_table,no
128,ELDORADO,35,419,285,22 204,322 831,140 384,26,27,201,161,888 509,7 403 901,3 467 162,6,7,mistral_table,mistral_table,no
129,FATIMA DO SUL,66,399,261,33 578,1 228 509,313 766,55,57,324,190,2 632 573,127 602 501,45 662 386,6,7,mistral_table,mistral_table,no
130,GLORIA DE DOURADOS,23,153,92,11 489,179 128,49 442,20,23,207,139,1 555 176,40 488 730,6 825 978,6,7,mistral_table,mistral_table,no
131,GUIA LOPES DA LAGUNA,11,63,40,4 332,41 839,24 632,12,13,155,131,944 099,8 814 475,2 730 230,6,7,mistral_table,mistral_table,no
132,IGUATEMI,50,1 244,1 006,82 289,1 053 391,417 096,15,17,229,195,1 004 383,12 123 327,6 166 150,6,7,mistral_table,mistral_table,no
133,INOCENCIA,9,32,16,2 868,7 752,3 183,10,11,35,16,298 052,2 205 448,304 440,6,7,mistral_table,mistral_table,no
134,ITAPORA,56,338,205,20 414,132 572,66 654,22,23,78,45,429 040,9 174 583,3 976 801,6,7,mistral_table,mistral_table,no
135,ITAQUIRAI,-,-,-,-,-,-,20,23,486,411,2 895 992,18 720 780,11 116 216,6,7,mistral_table,mistral_table,no
136,IVINHEMA,55,564,342,33 453,458 893,185 635,47,50,545,419,3 043 756,42 945 904,12 780 793,8,9,mistral_table,mistral_table,no
137,JARAGUARI,4,14,10,963,2 742,2 073,,,,,,,,8,9,mistral_table,mistral_table_partial,yes
138,JARDIM,19,106,60,6 722,48 634,27 944,19,23,166,104,2 185 197,5 634 022,3 094 268,8,9,mistral_table,mistral_table,no
139,JATEI,3,31,17,1 499,9 262,6 538,,,,,,,,8,9,mistral_table,mistral_table_partial,yes
140,LADARIO,13,327,288,34 861,188 171,95 671,4,7,187,180,2 055 943,16 347 150,11 706 643,8,9,mistral_table,mistral_table,no
141,MARACAJU,29,140,90,12 347,36 392,24 819,20,22,110,49,1 624 931,11 970 717,4 554 908,8,9,mistral_table,mistral_table,no
142,MIRANDA,36,281,191,16 419,175 129,109 176,20,21,140,105,970 506,5 525 974,3 368 066,8,9,mistral_table,mistral_table,no
143,MUNDO NOVO,77,707,502,44 427,352 442,135 676,43,48,379,257,1 731 868,12 006 944,5 198 593,8,9,mistral_table,mistral_table,no
144,NAVIRAI,60,1 248,906,103 663,1 633 686,597 785,43,48,737,563,6 497 182,179 185 087,53 631 521,8,9,mistral_table,mistral_table,no
145,NIOAQUE,4,13,6,427,5 790,2 695,6,6,34,25,76 197,405 775,164 030,8,9,mistral_table,mistral_table,no
146,NOVA ANDRADINA,48,358,244,27 205,288 575,140 765,46,50,512,348,5 128 689,52 575 696,25 866 021,8,9,mistral_table,mistral_table,no
147,PARANAIBA,112,616,385,45 969,306 310,118 919,91,95,480,300,3 692 467,25 393 923,9 389 053,8,9,mistral_table,mistral_table,no
148,PEDRO GOMES,24,205,127,30 994,250 349,158 841,20,20,142,115,1 659 268,68 398 634,60 946 438,8,9,mistral_table,mistral_table,no
149,PONTA PORA,74,856,650,73 134,883 778,349 142,73,84,774,576,4 253 292,52 574 917,18 162 763,8,9,mistral_table,mistral_table,no
150,PORTO MARTINHO,7,37,28,1 752,16 850,9 936,4,4,22,18,72 080,354 118,236 189,8,9,mistral_table,mistral_table,no
151,RIBAS DO RIO PARDO,7,33,17,1 603,11 080,6 553,3,4,71,59,293 936,2 031 726,1 543 405,8,9,mistral_table,mistral_table,no
152,RIO BRILHANTE,32,353,268,41 329,369 991,169 659,14,15,422,193,6 452 802,81 059 458,30 321 697,8,9,mistral_table,mistral_table,no
153,RIO NEGRO,5,14,4,439,7 673,3 249,7,7,18,7,47 892,313 272,166 304,8,9,mistral_table,mistral_table,no
154,RIO VERDE DE MATO GROSSO,26,145,90,10 752,130 170,48 955,19,20,166,116,1 105 559,9 208 753,3 224 064,8,9,mistral_table,mistral_table,no
155,ROCHEDO,5,19,11,1 830,4 488,3 771,4,4,15,8,87 822,342 177,199 122,8,9,mistral_table,mistral_table,no
156,SÃO GABRIEL DO OESTE,-,-,-,-,-,-,10,11,70,38,668 428,3 303 511,1 196 994,8,9,mistral_table,mistral_table,no
157,SETE QUEDAS,-,-,-,-,-,-,17,21,300,243,2 264 259,17 323 392,5 384 018,8,9,mistral_table,mistral_table,no
158,SELVRIA,-,-,-,-,-,-,6,6,18,7,97 250,487 463,338 069,8,9,mistral_table,mistral_table,no
159,SIDROLANDIA,5,21,9,1 955,5 772,4 492,12,16,395,329,3 997 427,28 115 225,12 093 629,8,9,mistral_table,mistral_table,no
160,TACURU,-,-,-,-,-,-,3,3,19,15,75 296,979 204,527 892,8,9,mistral_table,mistral_table,no
161,TAQUARUSSU,-,-,-,-,-,-,12,12,42,25,230 869,703 432,486 543,8,9,mistral_table,mistral_table,no
162,TERENOS,20,179,124,15 064,183 904,123 734,10,13,168,118,929 168,10 493 388,3 977 316,8,9,mistral_table,mistral_table,no
163,TRES LAGOAS,125,824,515,51 202,258 698,160 109,81,87,852,575,6 586 828,129 802 952,22 164 295,8,9,mistral_table,mistral_table,no
164,MATO GROSSO,2 357,18 631,13 000,2 008 720,13 950 052,6 685 818,1 755,1 921,21 351,15 315,211 228 066,2 226 318 310,1 017 983 046,8,9,mistral_table,mistral_table,no
165,EXTRATIVA MINERAL,437,4 009,3 306,550 466,1 577 475,1 434 512,12,16,1 015,901,11 467 742,80 020 914,62 346 542,8,9,mistral_table,mistral_table,no
166,TRANSFORMAÇÃO,1 920,14 622,9 694,1 458 254,12 372 577,5 251 306,1 743,1 905,20 336,14 414,199 760 324,2 146 297 396,955 636 504,8,9,mistral_table,mistral_table,no
167,NAO METALICOS,430,2 523,1 764,184 800,909 436,612 965,199,218,2 555,1 971,20 808 993,188 136 209,117 510 040,8,9,mistral_table,mistral_table,no
168,METALURGICA,95,451,288,40 414,198 501,90 518,133,138,697,432,5 441 549,25 945 754,13 632 078,8,9,mistral_table,mistral_table,no
169,MECANICA,35,326,253,48 603,179 283,162 092,47,54,556,400,7 612 845,26 322 876,20 064 316,8,9,mistral_table,mistral_table,no
170,MATERIAL ELETRICO,6,36,22,4 627,19 975,12 938,10,15,106,70,1 076 579,4 922 187,3 147 181,8,9,mistral_table,mistral_table,no
171,TRANSPORTE,21,287,227,38 209,204 934,161 034,29,32,297,218,3 071 590,32 337 273,18 156 399,8,9,mistral_table,mistral_table,no
172,MADEIRA,491,5 390,3 970,539 075,3 644 822,2 316 540,457,184,6 596,5 462,50 487 172,430 883 985,257 594 987,8,9,mistral_table,mistral_table,no
173,MOBILIARIO,90,422,221,36 720,129 997,71 804,181,184,811,492,5 728 382,25 119 083,13 673 746,8,9,mistral_table,mistral_table,no
