source_file,page,source_table_id,row_in_table,state,row_type,energy_source,primary_motor_type,primary_motor_number,primary_motor_hp,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,current_type,phases,cycles,transformer_stations,personnel
all_tables.pdf,8,tbl-30.md,18,Minas Geraes,data,Hydraulica...,T. H.,10,6150,28,-,6600,220110,Alternativa...,3,60,1,-
all_tables.pdf,8,tbl-30.md,19,Minas Geraes,data,Hydraulica...,T. H.,3,555,24,12,10000,120,Alternativa...,3,50,1,6
all_tables.pdf,8,tbl-30.md,20,Minas Geraes,data,Hydraulica...,T. H.,3,3000,490,300,220006600,2200,Alternativa...,3,50,,
all_tables.pdf,8,tbl-30.md,21,Minas Geraes,data,Hydraulica...,T. H.,1,150,3,300,6600,220120,Alternativa...,3,50,13,164
all_tables.pdf,8,tbl-30.md,22,Minas Geraes,data,Hydraulica...,T. H.,2,400,41,50,100002200,2200120,Alternativa...,3,50,,
all_tables.pdf,10,tbl-34.md,1,Minas Geraes,data,Hydraulica...,T. H.,1,125,9,5,10000,220,Alternativa...,3,50,-,3
all_tables.pdf,10,tbl-34.md,2,Minas Geraes,data,Hydraulica...,T. H.,1,43,3,5,2200,220,Alternativa...,1,43,1,6
all_tables.pdf,10,tbl-34.md,3,Minas Geraes,data,Hydraulica...,T. H.,1,40,,,220,220,Continua...,-,-,-,4
all_tables.pdf,10,tbl-34.md,4,Minas Geraes,data,Hydraulica...,T. H.,1,400,54,-,10500,220,Alternativa...,3,50,1,-
all_tables.pdf,10,tbl-34.md,5,Minas Geraes,data,Hydraulica...,T. H.,2,660,20,5,10000,2000,Alternativa...,3,50,1,9
all_tables.pdf,10,tbl-34.md,6,Minas Geraes,continuation,,,,,,,,220,,,,,
all_tables.pdf,10,tbl-34.md,7,Minas Geraes,continuation,,,,,,,,125,,,,,
all_tables.pdf,10,tbl-34.md,8,Minas Geraes,data,Hydraulica...,T. H.,2,700,34,-,5000,220,Alternativa...,3,50,1,8
all_tables.pdf,10,tbl-34.md,9,Minas Geraes,continuation,,,,,,,,120,,,,,
all_tables.pdf,10,tbl-34.md,10,Minas Geraes,data,Hydraulica...,T. H.,1,460,50,76,10000,220,Alternativa...,3,50,1,6
all_tables.pdf,10,tbl-34.md,11,Minas Geraes,continuation,,,,,,,4000,120,,,,,
all_tables.pdf,10,tbl-34.md,12,Minas Geraes,data,Hydraulica...,T. H.,2,1000,123,136,10000,220,Alternativa...,3,50,1,12
all_tables.pdf,10,tbl-34.md,13,Minas Geraes,continuation,,,,,,,,120,,,,,
all_tables.pdf,10,tbl-34.md,14,Minas Geraes,data,Hydraulica...,T. H.,2,1250,150,185,10000,220,Alternativa...,3,50,-,37
all_tables.pdf,10,tbl-34.md,15,Minas Geraes,continuation,,,,,,,,120,,,,,
all_tables.pdf,10,tbl-34.md,16,Minas Geraes,data,Hydraulica...,T. H.,1,320,3,15,2300,220,Alternativa...,3,50,1,10
all_tables.pdf,10,tbl-34.md,17,Minas Geraes,continuation,,,,,,,,120,,,,,
all_tables.pdf,10,tbl-34.md,18,Minas Geraes,data,Hydraulica...,T. H.,4,7800,16,-,25000,-,Alternativa...,3,50,1,10
all_tables.pdf,10,tbl-34.md,19,Minas Geraes,data,Hydraulica...,T. H.,2,160,14,4,5000,220,Alternativa...,1,50,1,5
all_tables.pdf,10,tbl-34.md,20,Minas Geraes,data,Hydraulica...,T. H.,1,120,12,9,6600,110,Alternativa...,3,60,1,-
all_tables.pdf,10,tbl-34.md,21,Minas Geraes,data,Hydraulica...,T. H.,1,120,7,6,6600,110,Alternativa...,3,60,1,4
all_tables.pdf,10,tbl-34.md,22,Minas Geraes,data,Hydraulica...,T. H.,1,180,2,10,110,110,Alternativa...,3,50,-,10
all_tables.pdf,10,tbl-34.md,23,Minas Geraes,data,Thermica...,M. V.,1,150,2,10,5000,220,Alternativa...,3,50,2,5
all_tables.pdf,10,tbl-34.md,24,Minas Geraes,continuation,,,,,,,,,,,60,,
all_tables.pdf,10,tbl-34.md,25,Minas Geraes,data,Hydraulica...,T. H.,1,60,34,8,6600,110,Alternativa...,2,50,1,4
all_tables.pdf,10,tbl-34.md,26,Minas Geraes,data,Hydraulica...,T. H.,1,620,5,20,2300,110,Alternativa...,3,50,1,10
all_tables.pdf,10,tbl-34.md,27,Minas Geraes,data,Hydraulica...,T. H.,2,516,12,6,10000,220,Alternativa...,3,50,1,10
all_tables.pdf,10,tbl-34.md,28,Minas Geraes,continuation,,,,,,,,120,,,,,
all_tables.pdf,10,tbl-34.md,29,Minas Geraes,data,Hydraulica...,T. H.,1,150,29,18,15000,220,Alternativa...,1,40,1,8
all_tables.pdf,10,tbl-34.md,30,Minas Geraes,continuation,,,,,,,,110,,,,,
all_tables.pdf,10,tbl-34.md,31,Minas Geraes,data,Hydraulica...,T. H.,1,543,15,32,22000,3000,Alternativa...,3,50,1,14
all_tables.pdf,10,tbl-34.md,32,Minas Geraes,continuation,,,,,,,,220,,,,,
all_tables.pdf,12,tbl-37.md,1,Minas Geraes,data,Hydraulica...,R. A.,1,7,2,3,250,250,Continua...,-,-,-,1
all_tables.pdf,12,tbl-37.md,2,Minas Geraes,data,Hydraulica...,T. H.,1,200,4,7,6000,220120,Alternativa...,3,50,-,3
all_tables.pdf,12,tbl-37.md,3,Minas Geraes,data,Hydraulica...,T. H.,1,115,4,9,4000,120,Alternativa...,3,50,1,5
all_tables.pdf,12,tbl-37.md,4,Minas Geraes,data,Hydraulica...,T. H.,1,200,12,4,6000,220,Alternativa...,3,50,1,5
all_tables.pdf,12,tbl-37.md,5,Minas Geraes,data,Hydraulica...,T. H.,1,679,13,8,10500,220,Continua...,-,-,1,2
all_tables.pdf,12,tbl-37.md,6,Minas Geraes,data,Hydraulica...,T. H.,1,256,1,-,220,220,Alternativa...,3,50,1,2
all_tables.pdf,12,tbl-37.md,7,Minas Geraes,data,Hydraulica...,T. H.,1,380,4,4,6000,220110,Alternativa...,3,50,-,5
all_tables.pdf,12,tbl-37.md,8,Minas Geraes,data,Hydraulica...,T. H.,2,500,36,20,22000,3000220110,Alternativa...,3,50,1,9
all_tables.pdf,12,tbl-37.md,9,Minas Geraes,data,Hydraulica...,T. H.,1,150,4,6,2000,120,Alternativa...,3,50,1,3
all_tables.pdf,12,tbl-37.md,10,Minas Geraes,data,Hydraulica...,T. H.,1,160,2,2,5100,220120,Alternativa...,3,50,-,2
all_tables.pdf,12,tbl-37.md,11,Minas Geraes,data,Hydraulica...,T. H.,1,45,1,7,220,220110,Alternativa...,3,50,-,2
all_tables.pdf,12,tbl-37.md,12,Minas Geraes,data,Hydraulica...,T. H.,2,1300,7,70,6000,220110,Alternativa...,3,50,-,-
all_tables.pdf,12,tbl-37.md,13,Minas Geraes,data,Hydraulica...,T. H.,1,135,3,9,3000,220110,Alternativa...,3,50,-,-
all_tables.pdf,12,tbl-37.md,14,Minas Geraes,data,Hydraulica...,T. H.,1,150,18,13,5000,220,Alternativa...,3,60,3,8
all_tables.pdf,12,tbl-37.md,15,Minas Geraes,data,Hydraulica...,T. H.,2,700,11,22,6600,1000110,Alternativa...,3,60,1,10
all_tables.pdf,12,tbl-37.md,16,Minas Geraes,data,Hydraulica...,T. H.,1,130,9,8,6600,110,Alternativa...,3,50,1,5
all_tables.pdf,12,tbl-37.md,17,Minas Geraes,data,Hydraulica...,T. H.,2,1500,6,25,4000,220,Alternativa...,3,50,-,8
all_tables.pdf,12,tbl-37.md,18,Minas Geraes,data,Hydraulica...,T. H.,1,150,7,-,6600,110,Alternativa...,3,-,-,-
all_tables.pdf,12,tbl-37.md,19,Minas Geraes,data,Hydraulica...,T. H.,1,150,4,(1),110,(1)110,Alternativa...,-,-,-,-
all_tables.pdf,14,tbl-46.md,1,Parahyba,data,Thermica...,M. V.,1,12,-,2,-,110,Continua...,-,-,-,2
all_tables.pdf,14,tbl-46.md,2,Parahyba,data,Thermica...,M. V.,1,21,-,2,-,110,Continua...,-,-,-,4
all_tables.pdf,14,tbl-46.md,3,Parahyba,data,Hydraulica...,T. H.,1,50,16,18,2000,120,Alternativa...,3,50,3,8
all_tables.pdf,14,tbl-46.md,4,Parahyba,data,Thermica...,C. I.,1,180,-,5,-,220,Continua...,-,-,-,7
all_tables.pdf,14,tbl-46.md,5,Parahyba,data,Thermica...,C. I.,1,40,-,3,-,220,Continua...,-,-,-,3
all_tables.pdf,14,tbl-46.md,6,Parahyba,data,Thermica...,C. I.,1,45,-,2,-,220,Continua...,-,-,-,9
all_tables.pdf,14,tbl-46.md,7,Parahyba,data,Thermica...,C. I.,2,1150,-,91,-,6000,Alternativa...,3,50,2,-
all_tables.pdf,14,tbl-46.md,8,Parahyba,continuation,,M. V.,1,300,-,,,220,,,,,
all_tables.pdf,14,tbl-47.md,1,Paraná,data,Thermica...,M. V.,2,50,-,6,-,220,Continua...,-,-,-,4
all_tables.pdf,14,tbl-47.md,2,Paraná,data,Thermica...,M. V.,1,25,-,3,-,235,Continua...,-,-,-,3
all_tables.pdf,14,tbl-47.md,3,Paraná,data,Thermica...,M. V.,2,250,2,9,2100,220,Alternativa...,3,50,-,12
all_tables.pdf,14,tbl-47.md,4,Paraná,data,Thermica...,M. V.,5,4200,-,-,-,2000,Alternativa...,3,42,-,45
all_tables.pdf,16,tbl-52.md,1,Paraná,data,Hydraulica...,R. A.,1,12,—,2,—,220,Continua...,—,—,—,2
all_tables.pdf,16,tbl-52.md,2,Paraná,data,Thermica...,M. V.,1,18,—,2,—,110,Continua...,—,—,—,2
all_tables.pdf,16,tbl-52.md,3,Paraná,data,Thermica...,M. V.,1,120,—,5,—,220,Continua...,—,—,—,4
all_tables.pdf,16,tbl-52.md,4,Paraná,data,Thermica...,M. V.,1,80,—,1,—,220,Continua...,—,—,—,4
all_tables.pdf,16,tbl-52.md,5,Paraná,data,Thermica...,M. V.,1,50,—,2,—,220,Continua...,—,—,—,—
all_tables.pdf,16,tbl-52.md,6,Paraná,data,Hydraulica...,T. H.,1,90,12,4,5000,110,Alternativa...,3,50,1,3
all_tables.pdf,16,tbl-52.md,7,Paraná,data,Hydraulica...,T. H.,2,750,16,20,11000,220,Alternativa...,3,60,1,14
all_tables.pdf,16,tbl-52.md,8,Paraná,data,Hydraulica...,R. A.,2,20,—,4,—,220,Continua...,—,—,—,2
all_tables.pdf,16,tbl-52.md,9,Paraná,data,Hydraulica...,T. H.,3,600,8,17,10000,220,Alternativa...,3,50,1,20
all_tables.pdf,16,tbl-52.md,10,Paraná,data,Hydraulica...,T. H.,1,60,7,—,3200,120,Alternativa...,3,50,1,4
all_tables.pdf,16,tbl-52.md,11,Paraná,data,Hydraulica...,R. A.,1,5,1,—,220,220,Continua...,—,—,—,1
all_tables.pdf,16,tbl-52.md,12,Paraná,data,Thermica...,M. V.,1,22,—,1,—,220,Continua...,—,—,—,2
all_tables.pdf,16,tbl-52.md,13,Paraná,data,Thermica...,M. V.,1,48,—,7,—,2200,Alternativa...,1,50,—,5
all_tables.pdf,16,tbl-52.md,14,Paraná,data,Thermica...,M. V.,1,70,—,2,—,120,Continua...,—,—,—,4
all_tables.pdf,16,tbl-52.md,15,Paraná,data,Thermica...,M. V.,1,200,—,—,—,3000,Alternativa...,3,50,1,6
all_tables.pdf,16,tbl-52.md,16,Paraná,data,Thermica...,M. V.,1,45,—,3,—,220,Alternativa...,3,60,—,2
all_tables.pdf,16,tbl-53.md,1,Pernambuco,data,Hydraulica...,R. A.,1,45,—,—,—,220,—,—,—,—,3
all_tables.pdf,16,tbl-53.md,2,Pernambuco,data,Thermica...,M. V.,1,40,—,3,—,110,Continua...,—,—,—,5
all_tables.pdf,16,tbl-53.md,3,Pernambuco,data,Thermica...,C. I.,1,120,—,—,—,220,Alternativa...,3,50,—,3
all_tables.pdf,16,tbl-53.md,4,Pernambuco,data,Thermica...,C. I.,1,40,—,3,—,110,Continua...,—,—,—,6
all_tables.pdf,16,tbl-53.md,5,Pernambuco,data,Thermica...,C. I.,1,10,—,4,—,110,Continua...,—,—,—,2
all_tables.pdf,16,tbl-53.md,6,Pernambuco,data,Thermica...,C. I.,1,7,—,3,—,110,Continua...,—,—,—,2
all_tables.pdf,16,tbl-53.md,7,Pernambuco,data,Thermica...,C. I.,2,100,—,5,—,220,Continua...,—,—,—,20
