source_file,page,source_table_id,row_in_table,state_context,adduction_material,pipe_diameter_mm,pipe_thickness_mm,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,transformer_stations,watercourse_used,reservoir_capacity_m3
all_tables.pdf,42,tbl-110.md,10,,-,-,-,4,9,4000,120,-,Rio Sabará.,-
all_tables.pdf,42,tbl-110.md,11,,Aço.,800,5,12,4,6000,220,1,Rio Vermelho.,-
all_tables.pdf,42,tbl-110.md,12,,Ferro.,800,20,13,8,10500,220,1,Ribeirão Borá.,11
all_tables.pdf,42,tbl-110.md,13,,-,-,-,1,-,220,220,1,Ribeirão da Matta.,-
all_tables.pdf,42,tbl-110.md,14,,Aço.,550,4,4,4,6000,220,-,Ribeirão Betim.,5
all_tables.pdf,42,tbl-110.md,15,,Ferro fundido.,610,5,36,20,22000,3000,1,Rio Turvo.,800
all_tables.pdf,42,tbl-110.md,16,,Ferro.,600,5,4,6,2200,120,1,Ribeirão dos Borges.,6
all_tables.pdf,42,tbl-110.md,17,,Ferro.,400,10,2,2,5100,220,1,Rio Prata.,20
all_tables.pdf,44,tbl-114.md,1,,Ferro fundido...,600,3,1,7,220,220120,-,Correço Confusão...,-
all_tables.pdf,44,tbl-114.md,2,,-,500,8,3,9,3000,220110,-,Rio Angú...,-
all_tables.pdf,44,tbl-114.md,3,,Chapas de ferro...,600,12,7,70,6000,220120,1,Rio dos Aventureiros...,-
all_tables.pdf,44,tbl-114.md,4,,Ferro fundido...,1000,20,18,13,5000,220,3,Correço do Carmo...,-
all_tables.pdf,44,tbl-114.md,5,,Aço...,105,10,11,72,6600,1000110,1,Rio Carandahy...,-
all_tables.pdf,44,tbl-114.md,6,,Ferro...,800,3,9,8,6000,110,1,Rio Tapanhús...,-
all_tables.pdf,44,tbl-114.md,7,,Chapas de ferro...,1250,20,6,25,4000,220,-,Rio Uberabinha...,-
all_tables.pdf,44,tbl-114.md,8,,Ferro...,-,-,4,(1),110,(1)110,-,Rio Turvo Sujo...,-
all_tables.pdf,44,tbl-114.md,9,,-,-,-,7,-,6600,110,-,Correço Grande ou Bagre...,-
all_tables.pdf,44,tbl-114.md,10,,Aço...,800,4,,,30000,5000,1,Rio do Peixe...,4100000
all_tables.pdf,44,tbl-114.md,11,,,1020,8,50,68,15000,380,,Rio de Veiga...,
all_tables.pdf,44,tbl-114.md,12,,,1090,10,,,5000,220,,Rio de Veiga dos Macacos...,
all_tables.pdf,44,tbl-114.md,13,,,1120,,,,,,,Rio de Veiga dos Crystaes...,
all_tables.pdf,44,tbl-114.md,14,,,,,,,,,,Rio de Veiga do Retiro...,
all_tables.pdf,44,tbl-114.md,15,,Ferro...,300,2,10,5,2200,110,1,Rio de Veiga Cardoso...,-
all_tables.pdf,44,tbl-114.md,16,,Madeira...,-,-,3,4,2200,10,1,Rio Conquista ou das Almas...,-
all_tables.pdf,46,tbl-121.md,1,,Ferro e cimento.,500,9,16,18,2000,120,3,Rio Camuçá.,500
all_tables.pdf,46,tbl-121.md,3,Paraná,-,-,-,-,2,-,220,-,Rio Irahyzinho.,10000
all_tables.pdf,46,tbl-121.md,4,Paraná,Ferro.,800,20,12,4,5000,110,1,Rio do Salto.,40
all_tables.pdf,46,tbl-121.md,5,Paraná,Aço.,600,20,16,20,11000,220,1,Rio Miranda.,-
all_tables.pdf,46,tbl-121.md,6,Paraná,-,300,10,16,20,11000,110,1,Rio Miranda.,-
all_tables.pdf,46,tbl-121.md,7,Paraná,-,-,-,-,4,-,220,-,Ribeirão Pirahy.,4000
all_tables.pdf,46,tbl-121.md,8,Paraná,Aço.,900,7,8,17,10000,220,1,Rio Pitanguy.,-
all_tables.pdf,46,tbl-121.md,9,Paraná,Aço.,550,5,7,-,3200,120,1,Rio dos Patos.,-
all_tables.pdf,46,tbl-121.md,10,Paraná,Madeira.,440,50,1,-,220,220,-,Ribeirão da Pescaria.,-
all_tables.pdf,46,tbl-121.md,12,Pernambuco,-,-,-,-,-,-,220,-,,-
all_tables.pdf,46,tbl-121.md,14,Rio de Janeiro,Ferro fundido.,600,7,31,6,13200,2300,1,Ribeirão do Quirino.,-
all_tables.pdf,46,tbl-121.md,15,Rio de Janeiro,Ferro batido.,400,3,6,4,3300,220,1,Rio da Bocaina.,-
all_tables.pdf,46,tbl-121.md,16,Rio de Janeiro,Aço e cimento.,450,3,19,-,2200,220,4,Rio Grande.,1600
all_tables.pdf,46,tbl-121.md,17,Rio de Janeiro,Ferro.,400,3,18,12,6600,220,3,Rio Negro.,-
all_tables.pdf,46,tbl-121.md,18,Rio de Janeiro,Chapas de ferro.,500,4,39,8,11000,220,2,Rio Negro.,60
all_tables.pdf,46,tbl-121.md,19,Rio de Janeiro,Ferro batido.,800,3,1,6,3000,220,1,Rio Emboque.,-
all_tables.pdf,48,tbl-125.md,2,Rio de Janeiro,Nature du matériel employé,DiametrodostubosM/m,EspessuraM/m,Detrans-missãoDetrans-mission,Dedistri-buçãoDedistri-bution,Detrans-missãoDetrans-mission,Dedistri-buçãoDedistri-bution,,,
all_tables.pdf,48,tbl-126.md,1,Rio de Janeiro,Ferro.,400,3,3,3,1500,220,1,Rio Negro.,-
all_tables.pdf,48,tbl-126.md,2,Rio de Janeiro,Ferro.,900,15,7,50,5000,220,1,Rio Santo Antonio.,-
all_tables.pdf,48,tbl-126.md,3,Rio de Janeiro,Aço.,2500,20,98,-,44000,220,1,Rios Piabanha e Fagundes,2000
all_tables.pdf,48,tbl-126.md,4,Rio de Janeiro,Madeira.,-,-,120,62,30000,220,1,Rio Parahybuna.,-
all_tables.pdf,48,tbl-126.md,5,Rio de Janeiro,Aço.,2450,10,81,7474,88000,217,3,Rio Pirahy.,192000000
all_tables.pdf,48,tbl-126.md,6,Rio de Janeiro,Canal.,-,-,6,22,2200,216,2,Rio Piqué-assé.,-
all_tables.pdf,48,tbl-126.md,7,Rio de Janeiro,Canal.,-,-,200,100,15750,220,1,Rio Muriahé.,-
all_tables.pdf,48,tbl-126.md,8,Rio de Janeiro,Aço.,450,3,1,1,120,120,-,Ribeirão das Neves.,-
all_tables.pdf,48,tbl-126.md,9,Rio de Janeiro,Ferro.,800,16,2,2,220,220,-,Rio Paquequer.,-
all_tables.pdf,48,tbl-127.md,1,Rio de Janeiro,Aço.,500,6,-,5,-,220,-,Rio Retiro.,-
all_tables.pdf,48,tbl-127.md,2,Rio de Janeiro,Ferro.,1100,15,14,13,10000,220,2,Arroio Ingles.,120000
all_tables.pdf,48,tbl-127.md,3,Rio de Janeiro,Ferro.,500,6,6,24,3300,220,1,Arroio Estrella.,-
all_tables.pdf,48,tbl-127.md,4,Rio de Janeiro,-,-,-,1,1,1250,220,-,Arroio da Sella.,-
all_tables.pdf,48,tbl-127.md,5,Rio de Janeiro,Ferro.,700,6,21,22,10000,220,-,Rio Taquary.,9000
all_tables.pdf,48,tbl-127.md,6,Rio de Janeiro,-,-,-,-,1,-,250,-,-,-
all_tables.pdf,48,tbl-127.md,7,Rio de Janeiro,Ferro e cimento.,800,15,30,30,5250,220,8,Arroio Feitoria.,-
all_tables.pdf,50,tbl-132.md,1,Rio de Janeiro,Water-castle,-,-,130,43,220008500,220,6,Rio Itajahy-assú.,-
all_tables.pdf,50,tbl-132.md,2,Rio de Janeiro,Canal,-,-,3,3,220,220,-,Rio Turvo.,3000
all_tables.pdf,50,tbl-132.md,3,Rio de Janeiro,Ferro,650,10,17,35,11000,400200,1,Rio Imaroim.,11000
all_tables.pdf,50,tbl-132.md,4,Rio de Janeiro,Aço,500,168,17,34,20000,220,1,Rio Pirahy.,3000
all_tables.pdf,50,tbl-132.md,5,Rio de Janeiro,-,-,-,18,-,10000,214,-,-,-
all_tables.pdf,50,tbl-132.md,6,Rio de Janeiro,Ferro,1000800750,3,15,30,60002000,2000220,2,Rio São Lourenço.,10000
all_tables.pdf,50,tbl-132.md,7,Rio de Janeiro,-,-,-,5,5,220,220110,-,Ribeirão Alferes.,-
all_tables.pdf,50,tbl-132.md,8,Rio de Janeiro,Ferro e cimento,900,18,7,4,3600,220,1,Rio Humboldt ou Vermelho,-
all_tables.pdf,50,tbl-132.md,9,Rio de Janeiro,Canal,-,-,1,-,220,220,-,Rio Urussanga.,-
all_tables.pdf,50,tbl-133.md,1,Rio de Janeiro,Ferro,1000800,7,12,180,187506000,2200220110,4,Ribeirão do Chibarro.,40000
all_tables.pdf,50,tbl-133.md,2,Rio de Janeiro,Ferro,2800,5,32,-,30000,6000220,3,Rio Jacaré-guassú.,-
all_tables.pdf,50,tbl-133.md,3,Rio de Janeiro,-,-,-,32,-,30000,6000220,5,Rio Jahú.,-
all_tables.pdf,50,tbl-133.md,4,Rio de Janeiro,Aço,600,8,38,-,10000,110,1,Rio Novo.,-
all_tables.pdf,50,tbl-133.md,5,Rio de Janeiro,Ferro,250,20,9,-,1800,110,1,Rio Bananal.,-
all_tables.pdf,50,tbl-133.md,6,Rio de Janeiro,Ferro,650,15,15,15,6000,120,1,Ribeirão Batataes.,-
all_tables.pdf,50,tbl-133.md,7,Rio de Janeiro,Ferro,900,5,27,14,6000,205120,1,Corrego Bebedouro.,600000
all_tables.pdf,52,tbl-137.md,1,Rio de Janeiro,-,-,-,12,15,6000,220,1,Rio Pardo.,-
all_tables.pdf,52,tbl-137.md,2,Rio de Janeiro,-,-,-,3,18,15000,220,3,Rio Jahú.,-
all_tables.pdf,52,tbl-137.md,3,Rio de Janeiro,Ferro.,1000,6,30,72,11000,220,3,Rio Lenções.,-
all_tables.pdf,52,tbl-137.md,4,Rio de Janeiro,-,-,-,160,150,30000,220,1,Rio Tieté.,-
all_tables.pdf,52,tbl-137.md,5,Rio de Janeiro,Aço.,1800,8,16,45,22500,8000,4,Rio Jaguary.,300
all_tables.pdf,52,tbl-137.md,6,Rio de Janeiro,Aço.,2000,8,,,13000,200,,,800
all_tables.pdf,52,tbl-137.md,7,Rio de Janeiro,,,,,,8000,114,,,
