source_file,page,source_table_id,row_in_table,state,company,municipality,plant,installation_year
all_tables.pdf,9,tbl-32.md,16,Minas Geraes,Companhia Industrial Pitanguyense,Pitanguy,—,1919
all_tables.pdf,9,tbl-32.md,17,Minas Geraes,Municipalidade de Piumhy,Piumhy,—,1919
all_tables.pdf,9,tbl-32.md,18,Minas Geraes,Luiz José Dias & Companhia,Poços de Caldas,—,1905
all_tables.pdf,9,tbl-32.md,19,Minas Geraes,Municipalidade de Ponte Nova,Ponte Nova,—,1913
all_tables.pdf,9,tbl-32.md,20,Minas Geraes,Municipalidade de Pouso Alegre,Pouso Alegre,Ponte de Pedras,1907
all_tables.pdf,9,tbl-32.md,21,Minas Geraes,Baêta & Mello,Queluz,Hydrodina,1917
all_tables.pdf,11,tbl-35.md,2,Minas Geraes,ESTADO DE (CONTIN),,,
all_tables.pdf,11,tbl-35.md,3,Minas Geraes,W T Atherton,Rio Piracicaba,Lages,1920
all_tables.pdf,11,tbl-35.md,4,Minas Geraes,Empresa Hydro-Electrica Nacional,Rio Preto,Romeo,1920
all_tables.pdf,11,tbl-35.md,5,Minas Geraes,Municipalidade de Sabará,Sabará,—,1917
all_tables.pdf,11,tbl-35.md,6,Minas Geraes,Municipalidade de Santa Luzia do Rio das Velhas,»,—,1913
all_tables.pdf,11,tbl-35.md,7,Minas Geraes,Municipalidade de Conquista,Sacramento,Sacramento,1908
all_tables.pdf,11,tbl-35.md,8,Minas Geraes,Companhia Industrial Bello Horizonte,Santa Luzia do Rio das Velhas,—,1916
all_tables.pdf,11,tbl-35.md,9,Minas Geraes,Dr. Estevão Leite de Magalhães Pinto,Santa Quiteria,—,1914
all_tables.pdf,11,tbl-35.md,10,Minas Geraes,Companhia Força e Luz Minas Sul,Santa Rita do Sapucahy,Delphim Moreira,1920
all_tables.pdf,11,tbl-35.md,11,Minas Geraes,Municipalidade de Santo Antonio do Monte,Santo Antonio do Monte,—,1918
all_tables.pdf,11,tbl-35.md,12,Minas Geraes,Municipalidade de São Domingos do Prata,São Domingos do Prata,—,1916
all_tables.pdf,11,tbl-35.md,13,Minas Geraes,Municipalidade de São Gothardo,São Gothardo,Cachoeira de Confusão,1920
all_tables.pdf,11,tbl-35.md,14,Minas Geraes,Adão Pereira de Araujo,São José d'Além Parahyba,Rio dos Aventureiros,1914
all_tables.pdf,11,tbl-35.md,15,Minas Geraes,Villela & Companhia,» » » »,—,1912
all_tables.pdf,11,tbl-35.md,16,Minas Geraes,Empresa Força e Luz de Silvestre Ferraz,Silvestre Ferraz,Força e Luz,1915
all_tables.pdf,11,tbl-35.md,17,Minas Geraes,Municipalidade de São João d'El-Rey,Tiradentes,—,1900
all_tables.pdf,11,tbl-35.md,18,Minas Geraes,Companhia Turvense de Luz e Força,Turvo,—,1917
all_tables.pdf,11,tbl-35.md,19,Minas Geraes,Companhia Luz e Força de Uberabinha,Uberabinha,—,1909
all_tables.pdf,11,tbl-35.md,20,Minas Geraes,Empresa Força e Luz Hervalense,Viçosa,—,1920
all_tables.pdf,11,tbl-35.md,21,Minas Geraes,Companhia Fiação e Tecidos São Sylvestre,»,São Sylvestre,1920
