source_file,page,source_table_id,row_in_table,state,company,municipality_plant_location,plant,electrical_installation_capacity_hp,total_waterfall_capacity_hp,waterfall_height_m,extension_m
all_tables.pdf,43,tbl-112.md,9,,Empresa Força e Luz Hervalense,Viçosa,—,150,150,—,—
all_tables.pdf,43,tbl-112.md,10,,St John del Rey Mining Company Limited,Villa Nova de Lima,A,335,720,34,1770
all_tables.pdf,43,tbl-112.md,11,,,,B,402,560,26,
all_tables.pdf,43,tbl-112.md,12,,,,C,911,1120,53,
all_tables.pdf,43,tbl-112.md,13,,,,D,1876,1950,78,
all_tables.pdf,43,tbl-112.md,14,,,,E,1876,1950,78,
all_tables.pdf,43,tbl-112.md,15,,,,Gaya,402,600,25,
all_tables.pdf,43,tbl-112.md,16,,,,Crystacs,154,450,21,
all_tables.pdf,43,tbl-112.md,17,,,,Retiro,67,260,13,
all_tables.pdf,43,tbl-112.md,18,,Municipalidade de Villa Nova de Rezende,Villa Nova de Rezende,Oso,15,300,17,30
all_tables.pdf,43,tbl-112.md,19,,,,Conquista,20,20,7,8
all_tables.pdf,45,tbl-116.md,1,,Empresa Hydro-Electrica Borborema,Bananeiras,—,50,200,130,200
all_tables.pdf,45,tbl-117.md,1,,Antonio Meirelles Sobrinho,Dendoro,Irahysinho,12,15,4,—
all_tables.pdf,45,tbl-117.md,2,,Municipalidade de Palmeira,Palmeira,—,90,180,14,40
all_tables.pdf,45,tbl-117.md,3,,E de Melhoramentos Urbanos de Paranaguá,Paranaguá,Rio Miranda,750,1500,96,300
all_tables.pdf,45,tbl-117.md,4,,José Fanchin,Pirahy,—,20,—,4,—
all_tables.pdf,45,tbl-117.md,5,,Martins & Carvalho,Ponta Grossa,Pitanguy,600,1200,15,74
all_tables.pdf,45,tbl-117.md,6,,Dursky & Companhia,Prudentopolis,—,60,1000,21,50
all_tables.pdf,45,tbl-117.md,7,,Heraclito de Magalhães,São José da Bôa Vista,—,5,5,6,8
all_tables.pdf,45,tbl-118.md,1,,Empresa de Luz Cabense,Cabo,—,45,(1),—,—
all_tables.pdf,45,tbl-119.md,1,,Empresa Fluminense de Força e Luz,Barra do Pirahy,Quirino,200,250,105,2000
all_tables.pdf,45,tbl-119.md,2,,Companhia Fiação e Tecidos São José,Barra Mansa,Chalet,120,120,25,90
all_tables.pdf,45,tbl-119.md,3,,Luiz Corrêa da Rocha Sobrinho,Bom Jardim,Banquete,60,900,6,240
all_tables.pdf,45,tbl-119.md,4,,Herdeiros de José Constancio Monnerat,Cantagallo,Santo Antonio,200,200,9,30
all_tables.pdf,45,tbl-119.md,5,,Empresa Força e Luz Ibero-Americana,Cantagallo,Chave do Vaz,1500,1500,70,120
all_tables.pdf,45,tbl-119.md,6,,Municipalidade de Carmo,Carmo,Emboque,150,150,36,150
all_tables.pdf,47,tbl-123.md,1,Rio de Janeiro,Regino Monastat,Duas Barras,São José,25,50,12,25
all_tables.pdf,47,tbl-123.md,2,Rio de Janeiro,Julius Alp & Companhia,Nova Friburgo,—,500,500,57,380
all_tables.pdf,47,tbl-123.md,3,Rio de Janeiro,Companhia Brasileira de Energia Eléctrica,Parahyba do Sul,Alberto Torres,18000,18000,50,4000
all_tables.pdf,47,tbl-123.md,4,Rio de Janeiro,"The Rio de Janeiro Tramway, Light and Power Company, Limited",Parahyba do Sul,Parahybuna,1200,1200,7,300
all_tables.pdf,47,tbl-123.md,5,Rio de Janeiro,,Pirahy,Ribeirão das Lages,60000,80000,310,8726
all_tables.pdf,47,tbl-123.md,6,Rio de Janeiro,Empresa Industrial Santa Theresa,Pariaty,—,120,1000,27,—
all_tables.pdf,47,tbl-123.md,7,Rio de Janeiro,Companhia Força e Luz Norte Fluminense,Santo Antonio de Padua,—,700,3000,16,—
all_tables.pdf,47,tbl-123.md,8,Rio de Janeiro,J Moraes,São Francisco de Paula,—,40,—,11,130
all_tables.pdf,47,tbl-123.md,9,Rio de Janeiro,Municipalidade de Sumidouro,Sumidouro,Sumidouro,30,50,3,30
all_tables.pdf,47,tbl-124.md,1,Rio de Janeiro,Municipalidade de Alfredo Chaves,Alfredo Chaves,—,42,52,12,85
all_tables.pdf,47,tbl-124.md,2,Rio de Janeiro,Salathiel Soares de Barros & Companhia,Cruz Alta,—,200,300,7,12
all_tables.pdf,47,tbl-124.md,3,Rio de Janeiro,Ruschel & Irmãos,Estrella,—,80,80,16,35
all_tables.pdf,47,tbl-124.md,4,Rio de Janeiro,Guilherme Mollmann,Garibaldi,—,6,14,5,—
all_tables.pdf,47,tbl-124.md,5,Rio de Janeiro,Municipalidade de Passo Fundo,Passo Fundo,Municipal,560,600,18,30
all_tables.pdf,47,tbl-124.md,6,Rio de Janeiro,Irmãos Corso & Companhia,São Francisco de Paula de Cima da Serra,—,16,20,5,—
all_tables.pdf,47,tbl-124.md,7,Rio de Janeiro,Municipalidade de São Leopoldo,São Leopoldo,Picada 48,300,300,48,120
all_tables.pdf,49,tbl-129.md,1,Rio de Janeiro,Empresa Força e Luz de Santa Catharina,Blumenau,—,5000,20000,15,—
all_tables.pdf,49,tbl-129.md,2,Rio de Janeiro,Izabel Knonz Duarte,Campo Alegre,Santa Izabel,12,100,24,—
all_tables.pdf,49,tbl-129.md,3,Rio de Janeiro,Governo do Estado de Santa Catharina,Florianopolis,Maroim,900,1200,35,225
all_tables.pdf,49,tbl-129.md,4,Rio de Janeiro,"E Joinvillense de Electricidade, Luz e Força",Joinville,Pirahy,900,2000,335,961
all_tables.pdf,49,tbl-129.md,5,Rio de Janeiro,Empresa de Electricidade de Lages,Lages,—,150,1500,—,—
all_tables.pdf,49,tbl-129.md,6,Rio de Janeiro,N Bley Netto,Mafra,São Lourenço,480,1200,38,80
all_tables.pdf,49,tbl-129.md,7,Rio de Janeiro,João Bauer,Nova Trento,—,12,50,10,120
all_tables.pdf,49,tbl-129.md,8,Rio de Janeiro,Henrique Moeller & Companhia,São Bento,—,120,350,37,230
all_tables.pdf,49,tbl-129.md,9,Rio de Janeiro,Antonio Ferraro & Angelo Antonio Nichel,Urussanga,—,7,—,4,—
all_tables.pdf,49,tbl-130.md,1,Rio de Janeiro,Empresa de Electricidade de Araraquara,Araraquara,Chibarro,2500,3000,75,163
all_tables.pdf,49,tbl-130.md,2,Rio de Janeiro,Empresa Força e Luz do Jahú,Araraquara,Gavião Peixoto,6000,10000,13,50
all_tables.pdf,49,tbl-130.md,3,Rio de Janeiro,,Jahú,—,500,—,—,—
all_tables.pdf,49,tbl-130.md,4,Rio de Janeiro,Empresa de Electricidade de Avaré,Avaré,—,200,800,15,200
all_tables.pdf,49,tbl-130.md,5,Rio de Janeiro,Empresa Força e Luz de Bananal,Bananal,—,330,500,220,50
all_tables.pdf,49,tbl-130.md,6,Rio de Janeiro,Companhia de Melhoramentos de Batataes,Batataes,—,200,600,22,50
all_tables.pdf,49,tbl-130.md,7,Rio de Janeiro,Empresa Electrica de Bebedouro,Bebedouro,—,200,—,7,12
all_tables.pdf,51,tbl-135.md,1,Rio de Janeiro,Companhia Paulista de Força e Luz,Botucatá,Rio Pardo,200,200,16,30
all_tables.pdf,51,tbl-135.md,2,Rio de Janeiro,,Dous Corregos,—,250,250,—,—
all_tables.pdf,51,tbl-135.md,3,Rio de Janeiro,,Lenções,Central,2000,3000,24,120
all_tables.pdf,51,tbl-135.md,4,Rio de Janeiro,,Pennapolis,Avanhandava,3000,60000,18,—
all_tables.pdf,51,tbl-135.md,5,Rio de Janeiro,Empresa Electrica Bragantina,Bragança,Guaraciaba,900,1200,12,90
