entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,merchandise_sales_revenue_1985_million_cruzeiros,merchandise_sales_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
REGIÃO SUDESTE,345 190,"100,0",946 717,"100,0",19 081 993,100.0,410 948 '136,"100,0",81,pdf_text_layout,no
TOTAL DAS REGIOES METROPOLITANAS,146 713,"42,5",077 663,"55,4",12 442 sss,"65,2",241 992 808,"58,9",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,1 98 477,"57,5",859 054,"44,6",6 639 438,"34,8",168 955 328,"41, 1",81,pdf_text_layout,no
MINAS ~ERAIS,87 397,"100,0",360 265,"100,0",2 610 437,"100,0",65 020 310,"100,0",81,pdf_text_layout,no
REGIAO METROPOLITANA - BEi-O HORIZONTE,16 592,"19,0",109 559,"30,4",1 061 291,"40,7",24 304 967,"37,4",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,70 805,"81,0",250 706,"69,6",1 549 145,"59,3",40 715 343,"62,6",81,pdf_text_layout,no
"SÃO PAVLO . . . . • . • . . . . . . • . , . .L",181 606,"100,0",1 073 950,"100,0",11 702 863,"100,0",252 889 934,"100,0",81,pdf_text_layout,no
REGIAO METROPOLITANA - SAO PAULO,82 145,"45,2",586 207,54. 6,7 493 537,"64,0",148 401 668,"58,7",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,99 461,"54, 8",487 743,"45,4",4 209 326,"36,0",104 08 ·2.65_,"41,3",81,pdf_text_layout,no
REGIÃO SUL,140 509,"100,0",750 673,"100,0",7 012 794,"100,0",152 688 8'97,"100,0",81,pdf_text_layout,no
TOTAL DAS,"REGIOES METROPOLITANAS . . . . . . . ,, ..",28 .440,"20,2 206 654",27. 5,2 336 soo,"33,3",42 278 291,"27,7",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,112 069,79. 8,544 019,72. 5,4 676 294,"66,7",110 410 605,"72.,3",81,pdf_text_layout,no
PARANA 1,49 456,"100,0",270 047,"100,0",2 385 684,"100,0",65 175 872,"100,0",81,pdf_text_layout,no
REGI AO METROPOl-ITANA - CURITIBA,10 118,"20,5",74 095,"27,4",762 043,31. 9,1 6 056 '.;2'45,"24,6",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,39 338,"79,5",195 952,"72, 6",1 623 641,68. 1,49 119 -~1~6,75. 4,81,pdf_text_layout,no
RIO GR!)NDE DO SUL,65 838,"100,0",351 JZZ,"100,0",526 560,"100,0",65 356 242,"100,0",81,pdf_text_layout,no
REGIAO METROPOLITANA,"- PO~TO ALEGRE.,.,.,,. 18 322","27,8",132 559,"37,7",574 457,"44,6",26 222 045,".40,,",81,pdf_text_layout,no
DEMAIS MUNICIPIOS,47 516,"72,2",218 763,"62,3",952 102,"55,4",39 134 º'1.96,"59,9",81,pdf_text_layout,no
