order_number,entry,establishments_1975,personnel_occupied_total_1975,personnel_occupied_linked_to_production_1975,average_monthly_personnel_occupied_1975,salaries_total_1975_thousand_cruzeiros,salaries_production_personnel_1975_thousand_cruzeiros,miscellaneous_expenses_1975_thousand_cruzeiros,industrial_operations_expenses_total_1975_thousand_cruzeiros,industrial_operations_expenses_raw_materials_materials_components_1975_thousand_cruzeiros,production_value_1975_thousand_cruzeiros,industrial_transformation_value_1975_thousand_cruzeiros,entry_ocr,source_page_left,source_page_right,entry_correction_method,left_extraction_method,right_extraction_method,needs_review
5101,VIRADOURO,14,47,10,40,281,37,173,847,645,1 784,937,VIRADOURO,21,22,ocr_exact,mistral_table,mistral_table,no
5102,EXTRACAO DE MINERAIS,2,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),EXTRACAO DE MINERAIS,21,22,ocr_exact,mistral_table,mistral_table,no
5103,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,2,(X),-,(X),-,-,(X),(X),(X),(X),(X),TRANSFORMACAO DE PRODUTOS DE MINERAIS NÃO METALICOS,21,22,ocr_exact,mistral_table,mistral_table,no
5104,MADEIRA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MADEIRA,21,22,ocr_exact,mistral_table,mistral_table,no
5105,QUIMICA,1,(X),-,(X),(X),-,(X),(X),(X),(X),(X),QUIMICA,21,22,ocr_exact,mistral_table,mistral_table,no
5106,PRODUTOS ALIMENTARES,7,23,3,20,153,19,85,614,582,973,359,PRODUTOS ALIMENTARES,21,22,ocr_exact,mistral_table,mistral_table,no
5107,VISTA ALEGRE DO ALTO,6,41,18,32,386,119,919,3 434,3 354,6 411,2 977,VISTA ALEGRE DO ALTO,21,22,ocr_exact,mistral_table,mistral_table,no
5108,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,1,(X),-,(X),(X),-,(X),(X),(X),(X),(X),TRANSFORMACAO DE PRODUTOS DE MINERAIS NÃO METALICOS,21,22,ocr_exact,mistral_table,mistral_table,no
5109,MECANICA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MECANICA,21,22,ocr_exact,mistral_table,mistral_table,no
5110,PRODUTOS ALIMENTARES,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS ALIMENTARES,21,22,ocr_exact,mistral_table,mistral_table,no
5111,BEBIDAS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),BEBIDAS,21,22,ocr_exact,mistral_table,mistral_table,no
5112,VOTORANTIM,54,6 302,6 092,6 234,96 916,91 893,183 294,652 635,499 123,1 294 287,641 652,VOTORANTIM,21,22,ocr_exact,mistral_table,mistral_table,no
5113,EXTRACAO DE MINERAIS,3,215,141,224,5 720,4 003,22 275,7 372,5 032,41 366,33 994,EXTRACAO DE MINERAIS,21,22,ocr_exact,mistral_table,mistral_table,no
5114,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,7,589,583,608,13 507,13 490,81 776,277 135,183 569,544 864,267 729,TRANSFORMACAO DE PRODUTOS DE MINERAIS NÃO METALICOS,21,22,ocr_exact,mistral_table,mistral_table,no
5115,METALURGICA,3,14,11,13,193,148,111,960,904,1 403,443,METALURGICA,21,22,ocr_exact,mistral_table,mistral_table,no
5116,MECANICA,6,1 021,994,1 031,19 923,18 882,8 790,2 699,2 258,33 782,31 083,MECANICA,21,22,ocr_exact,mistral_table,mistral_table,no
5117,MOBILIARIO,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MOBILIARIO,21,22,ocr_exact,mistral_table,mistral_table,no
5118,QUIMICA,3,753,739,763,16 039,14 851,18 040,108 188,98 438,262 351,154 163,QUIMICA,21,22,ocr_exact,mistral_table,mistral_table,no
5119,"PERFUMARIA, SABOES E VELAS",1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"PERFUMARIA, SABDES E VELAS",21,22,industry_lexicon,mistral_table,mistral_table,no
5120,TEXTIL,18,3 506,3 471,3 408,38 756,38 072,48 812,250 418,206 993,398 225,147 807,TEXTIL,21,22,ocr_exact,mistral_table,mistral_table,no
5121,PRODUTOS ALIMENTARES,5,91,47,82,555,330,737,1 088,1 017,2 401,1 313,PRODUTOS ALIMENTARES,21,22,ocr_exact,mistral_table,mistral_table,no
5122,BEBIDAS,1,(X),(X),(X),(X),(X),(X),(X),-,(X),(X),BEBIDAS,21,22,ocr_exact,mistral_table,mistral_table,no
5123,EDITORIAL E GRAFICA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),EDITORIAL E GRAFICA,21,22,ocr_exact,mistral_table,mistral_table,no
5124,ATIVIDADES DE APOIO E DE SERVICOS DE CARATER INDUSTRIAL,5,58,94,93,2 080,2 055,2 643,4 529,670,9 339,4 810,ATIVIDADES DE APOIO E DE SERVICOS DE CARACTER INDUSTRIAL,21,22,industry_lexicon,mistral_table,mistral_table,no
5125,VOTUPORANGA,119,1 514,1 146,1 346,16 527,8 610,28 973,127 952,126 462,204 767,76 815,VOTUPORANGA,21,22,ocr_exact,mistral_table,mistral_table,no
5126,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,11,64,41,59,533,345,1 093,1 430,1 284,4 199,2 769,TRANSFORMACAO DE PRODUTOS DE MINERAIS NÃO METALICOS,21,22,ocr_exact,mistral_table,mistral_table,no
5127,METALURGICA,9,32,31,32,346,317,584,1 697,1 598,2 992,1 295,METALURGICA,21,22,ocr_exact,mistral_table,mistral_table,no
5128,MECANICA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MECANICA,21,22,ocr_exact,mistral_table,mistral_table,no
5129,MATERIAL ELETRICO E DE COMUNICACOES,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MATERIAL ELETRICO E DE COMUNICACOES,21,22,ocr_exact,mistral_table,mistral_table,no
