order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_service_activity_1980,salaries_withdrawals_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_service_activity_1985,salaries_withdrawals_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
111,DEMAIS GÊNEROS,114,604,441,51,884,148,158,778,574,6 632 231,19 851 727,174,175,mistral_table,mistral_table,no
112,SANTA LUZIA,51,169,85,8,293,113,115,439,238,2 249 551,6 441 531,174,175,mistral_table,mistral_table,no
113,ALOJAMENTO,15,63,27,1,822,8,8,30,13,176 000,803 000,174,175,mistral_table,mistral_table,no
114,ALIMENTAÇÃO,24,67,35,3,665,80,80,309,160,1 598 524,4 691 524,174,175,mistral_table,mistral_table,no
115,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",6,14,8,657,1,21,21,77,50,310 300,807 000,174,175,mistral_table,mistral_table,no
116,DEMAIS GÊNEROS,6,25,15,2,149,4,6,23,15,164 727,344 007,174,175,mistral_table,mistral_table,no
117,ACAILANDIA,-,-,-,-,-,75,75,254,152,1 146 755,6 329 162,174,175,mistral_table,mistral_table,no
118,AFONSO CUNHA,2,(B),(A),(X),(A),-,-,-,-,-,-,174,175,mistral_table,mistral_table,no
119,ALCANTARA,6,16,6,759,3,15,15,44,18,593 500,2 677 000,174,175,mistral_table,mistral_table,no
120,ALDEIAS ALTAS,5,21,12,865,3,-,-,-,-,-,-,174,175,mistral_table,mistral_table,no
121,ALTAMIRA DO MARANHÃO,2,(A),(A),(X),(A),1,1,(A),(A),(X),(A),174,175,mistral_table,mistral_table,no
122,ALTO PARNAIBA,15,45,17,5,343,10,11,45,28,320 190,1 188 400,174,175,mistral_table,mistral_table,no
123,AMARANTE DO MARANHÃO,2,(B),(A),(X),(A),4,4,8,3,38 064,124 548,174,175,mistral_table,mistral_table,no
124,ANAJATUBA,4,11,6,421,1,3,3,11,7,50 400,136 000,174,175,mistral_table,mistral_table,no
125,ANAPURUS,2,(A),(A),(X),(A),3,3,7,4,50 400,158 000,174,175,mistral_table,mistral_table,no
126,ARAIOSES,2,(B),(A),(X),(A),11,11,37,19,245 980,642 800,174,175,mistral_table,mistral_table,no
127,ARARI,4,17,10,1,025,25,25,88,59,834 060,1 607 500,174,175,mistral_table,mistral_table,no
128,AXIXA,2,(B),(A),(X),(A),3,3,10,3,23 300,249 335,174,175,mistral_table,mistral_table,no
129,BACABAL,84,347,215,18,359,111,114,454,279,2 578 758,10 766 168,174,175,mistral_table,mistral_table,no
130,BACURI,2,(B),(A),(X),(A),2,2,(B),(A),(X),(A),174,175,mistral_table,mistral_table,no
131,BALSAS,29,139,85,9,930,83,84,329,181,2 146 959,6 788 483,174,175,mistral_table,mistral_table,no
132,BARÃO DE GRAJAU,4,10,2,665,2,-,-,-,-,-,-,174,175,mistral_table,mistral_table,no
133,BARRA DO CORDA,49,186,104,12,662,63,64,205,112,1 332 657,4 388 621,174,175,mistral_table,mistral_table,no
134,BARREIRINHAS,7,21,11,1 608,7 822,6,6,16,6,58 764,514 470,176,177,mistral_table,mistral_table,no
135,BENEDITO LEITE,5,21,6,363,2 439,3,3,10,6,27 800,94 960,176,177,mistral_table,mistral_table,no
136,BEQUIMÃO,4,6,2,144,1 378,4,4,14,6,40 500,323 050,176,177,mistral_table,mistral_table,no
137,BOM JARDIM,11,25,11,771,4 741,24,24,99,43,489 720,1 171 612,176,177,mistral_table,mistral_table,no
138,BREJO,19,75,32,5 310,15 086,16,17,69,40,216 299,581 125,176,177,mistral_table,mistral_table,no
139,BURITI,2,(B),(A),(X),(A),3,3,9,4,40 680,282 800,176,177,mistral_table,mistral_table,no
140,BURITI BRAVO,17,38,19,2 392,7 130,30,31,88,37,832 612,4 077 880,176,177,mistral_table,mistral_table,no
141,CAJAPIO,-,-,-,-,-,1,1,(A),(A),(X),(A),176,177,mistral_table,mistral_table,no
142,CAJARI,-,-,-,-,-,4,4,11,5,26 600,117 000,176,177,mistral_table,mistral_table,no
143,CANDIDO MENDES,3,15,11,934,3 794,13,14,52,39,191 768,751 397,176,177,mistral_table,mistral_table,no
144,CANTANHEDE,2,(B),(A),(X),(A),4,4,11,6,39 000,211 200,176,177,mistral_table,mistral_table,no
145,CAROLINA,51,197,115,9 909,48 227,35,36,130,69,529 436,2 827 512,176,177,mistral_table,mistral_table,no
146,CARUTAPERA,13,46,22,1 639,12 250,6,6,22,11,84 200,742 400,176,177,mistral_table,mistral_table,no
147,CHAPADINHA,44,133,69,6 180,21 459,40,42,118,76,513 617,2 387 404,176,177,mistral_table,mistral_table,no
148,COELHO NETO,15,56,31,6 897,20 962,6,6,30,25,202 500,963 600,176,177,mistral_table,mistral_table,no
149,COLINAS,30,78,42,5 059,23 116,47,48,148,76,1 315 032,3 672 540,176,177,mistral_table,mistral_table,no
150,COROATA,59,241,145,12 029,48 901,75,76,247,141,1 170 946,4 096 209,176,177,mistral_table,mistral_table,no
151,CURURUPU,13,59,34,2 551,9 027,6,6,23,16,256 800,804 000,176,177,mistral_table,mistral_table,no
152,DOM PEDRO,26,81,47,4 468,9 255,25,26,81,39,365 392,924 932,176,177,mistral_table,mistral_table,no
153,ESPERANTINOPOLIS,3,12,2,177,2 703,21,21,58,28,354 491,1 765 064,176,177,mistral_table,mistral_table,no
154,ESTREITO,-,-,-,-,-,13,13,42,23,219 792,518 534,176,177,mistral_table,mistral_table,no
155,FORTALEZA DOS NOGUEIRAS,4,10,4,285,1 898,3,3,11,5,26 600,96 000,176,177,mistral_table,mistral_table,no
156,FORTUNA,1,(A),(A),(X),(A),6,8,28,17,179 338,7 147 435,176,177,mistral_table,mistral_table,no
157,GODOFREDO VIANA,1,(A),(A),(X),(A),14,14,42,24,140 600,562 600,176,177,mistral_table,mistral_table,no
158,GONÇALVES DIAS,6,15,8,950,3 296,2,3,7,4,55 889,165 723,176,177,mistral_table,mistral_table,no
159,GOVERNADOR ARCHER,3,5,-,144,1 103,5,5,11,6,23 000,128 200,176,177,mistral_table,mistral_table,no
160,GOVERNADOR EUGENIO BARROS,5,11,1,491,2 120,-,-,-,-,-,-,176,177,mistral_table,mistral_table,no
161,GRAÇA ARANHA,3,7,2,296,1 077,-,-,-,-,-,-,176,177,mistral_table,mistral_table,no
162,GRAJAU,39,133,68,6 221,31 804,40,41,140,86,793 786,3 336 824,176,177,mistral_table,mistral_table,no
163,GUIMARÃES,2,(C),(A),(X),(A),1,1,(A),(A),(X),(A),176,177,mistral_table,mistral_table,no
164,HUMBERTO DE CAMPOS,2,(A),(A),(X),(A),-,-,-,-,-,-,176,177,mistral_table,mistral_table,no
165,ICATU,1,(B),(A),(X),(A),-,-,-,-,-,-,176,177,mistral_table,mistral_table,no
166,IGARAPE GRANDE,1,(A),(A),(X),(A),5,5,13,6,196 800,482 000,176,177,mistral_table,mistral_table,no
167,ITAPECURU MIRIM,47,197,115,12 684,44 612,63,65,242,141,1 592 306,7 695 156,176,177,mistral_table,mistral_table,no
168,JOÃO LISBOA,15,37,9,1 324,7 369,15,15,45,23,211 228,793 798,176,177,mistral_table,mistral_table,no
169,JOSELANDIA,5,20,3,513,3 176,4,4,12,6,30 149,188 563,176,177,mistral_table,mistral_table,no
170,LAGO DA PEDRA,19,60,26,1 904,13 758,42,43,128,66,564 989,2 772 983,176,177,mistral_table,mistral_table,no
171,LAGO DO JUNCO,-,-,-,-,-,3,3,12,3,83 600,155 000,176,177,mistral_table,mistral_table,no
172,LIMA CAMPOS,3,9,3,226,1 297,5,5,15,6,57 172,378 400,176,177,mistral_table,mistral_table,no
173,LORETO,4,15,4,345,1 379,3,3,10,5,19 200,146 000,176,177,mistral_table,mistral_table,no
174,LUIS DOMINGUES,-,-,-,-,-,1,1,(A),(A),(X),(A),176,177,mistral_table,mistral_table,no
175,MAGALHÃES DE ALMEIDA,3,8,3,740,1 660,2,2,(B),(A),(X),(A),176,177,mistral_table,mistral_table,no
176,MATA ROMA,5,11,1,342,1 537,2,2,(B),(A),(X),(A),176,177,mistral_table,mistral_table,no
177,MATINHA,1,(A),(A),(X),(A),2,2,(B),(A),(X),(B),176,177,mistral_table,mistral_table,no
178,MATÕES,1,(A),(A),(X),(A),4,4,9,5,69 000,190 000,176,177,mistral_table,mistral_table,no
179,MIRADOR,1,(A),(A),(X),(A),2,2,(B),(A),(X),(C),176,177,mistral_table,mistral_table,no
180,MIRINZAL,5,24,16,673,2 828,2,2,(B),(A),(X),(A),176,177,mistral_table,mistral_table,no
181,MONÇÃO,48,146,79,7 979,38 080,45,46,166,112,1 317 449,4 276 424,178,179,mistral_table,mistral_table,no
