entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,merchandise_sales_revenue_1985_million_cruzeiros,merchandise_sales_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,5 731,"59,8",14 980,"40,8",93 945,"31,9",1 180 555,"26,8",82,mistral_table,no
PARAIBA,11 216,"100,0",40 419,"100,0",247 631,"100,0",5 137 361,"100,0",82,mistral_table,no
CAPITAL,1 878,"16,7",10 627,"26,3",70 689,"28,5",1 472 035,"28,7",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,1 763,"15,7",8 714,"21,6",58 940,"23,8",1 493 647,"29,1",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,7 575,"67,5",21 078,"52,1",118 001,"47,7",2 171 679,"42,3",82,mistral_table,no
PERNAMBUCO,32 045,"100,0",136 895,"100,0",1 127 333,"100,0",19 784 971,"100,0",82,mistral_table,no
CAPITAL,7 867,"24,5",60 414,"44,1",600 827,"53,3",11 658 925,"58,9",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,6 717,"21,0",26 095,"19,1",191 461,"17,0",3 349 851,"16,9",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,17 461,"54,5",50 386,"36,8",335 044,"29,7",4 786 195,"24,2",82,mistral_table,no
ALAGOAS,6 756,"100,0",30 380,"100,0",228 040,"100,0",4 969 518,"100,0",82,mistral_table,no
CAPITAL,2 590,"38,3",16 457,"54,2",137 236,"60,2",3 277 365,"65,9",82,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,747,"11,1",3 127,"10,3",21 367,"9,4",459 558,"9,2",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,3 419,"50,6",10 796,"35,5",69 437,"30,4",1 232 596,"24,8",82,mistral_table,no
SERGIPE,4 766,"100,0",22 575,"100,0",179 331,"100,0",3 763 482,"100,0",82,mistral_table,no
CAPITAL,1 935,"40,5",12 745,"56,5",115 985,"64,7",2 237 083,"59,4",82,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,2 831,"59,3",9 830,"43,5",63 346,"35,3",1 526 399,"40,6",82,mistral_table,no
BAHIA,42 802,"100,0",188 298,"100,0",1 550 503,"100,0",30 371 583,"100,0",83,mistral_table,no
CAPITAL,7 889,"18,0",65 443,"94,6",708 122,"45,7",10 490 175,"34,5",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,7 505,"17,5",39 568,"21,0",295 336,"19,0",8 765 827,"28,9",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,27 608,"64,5",83 289,"44,2",547 045,"35,3",11 115 582,"36,6",83,mistral_table,no
REGIÃO SUDESTE,345 190,"100,0",1 946 717,"100,0",16 081 993,"100,0",410 948 136,"100,0",83,mistral_table,no
TOTAL DAS CAPITAIS,104 374,"30,2",644 980,"43,4",10 404 402,"54,5",189 450 459,"46,1",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,102 477,"25,7",602 830,"31,0",5 311 005,"27,8",130 497 700,"31,8",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,138 336,"40,1",496 907,"25,6",3 366 585,"17,6",90 959 977,"22,1",83,mistral_table,no
MINAS GERAIS,87 397,"100,0",360 265,"100,0",2 610 437,"100,0",65 030 310,"100,0",83,mistral_table,no
CAPITAL,12 411,"14,2",89 136,"24,7",868 660,"33,3",14 802 117,"22,8",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,16 599,"19,0",88 582,"24,6",705 563,"27,0",18 489 046,"28,4",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,58 387,"66,8",182 445,"50,6",1 036 213,"39,7",31 729 147,"48,8",83,mistral_table,no
ESPÍRITO SANTO,12 380,"100,0",59 978,"100,0",416 498,"100,0",14 186 525,"100,0",83,mistral_table,no
CAPITAL,1 982,"16,0",16 945,"28,3",156 883,"37,7",5 848 345,"41,2",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,4 530,"36,6",24 858,"41,4",174 715,"41,9",5 362 987,"37,8",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,5 868,"47,4",18 175,"30,3",84 899,"20,4",2 975 193,"21,0",83,mistral_table,no
RIO DE JANEIRO,63 807,"100,0",452 524,"100,0",4 352 195,"100,0",78 851 368,"100,0",83,mistral_table,no
CAPITAL,29 322,"46,0",274 303,"60,6",3 109 566,"71,4",49 850 300,"63,2",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,25 084,"39,3",141 575,"31,3",1 017 744,"23,4",24 863 168,"31,5",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,9 401,"14,7",36 646,"8,1",224 883,"5,2",4 137 900,"5,2",83,mistral_table,no
SÃO PAULO,181 606,"100,0",1 073 950,"100,0",11 702 863,"100,0",252 889 934,"100,0",83,mistral_table,no
CAPITAL,60 659,"33,4",464 594,"43,3",6 269 290,"53,6",118 989 698,"47,1",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,56 264,"31,0",347 715,"32,4",3 412 984,"29,2",81 782 495,"32,3",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,64 683,"35,6",261 641,"24,4",2 020 590,"17,3",52 117 737,"20,6",83,mistral_table,no
REGIÃO SUL,140 509,"100,0",750 973,"100,0",7 012 794,"100,0",152 688 897,"100,0",83,mistral_table,no
TOTAL DAS CAPITAIS,16 931,"13,5",198 496,"22,2",1 970 546,"28,1",29 497 708,"19,3",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,33 072,"23,5",206 918,"27,6",2 066 964,"29,5",47 608 012,"31,3",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,88 506,"63,0",377 262,"50,3",2 976 284,"42,4",75 585 177,"49,5",83,mistral_table,no
PARANÁ,49 456,"100,0",270 047,"100,0",2 385 684,"100,0",65 175 672,"100,0",83,mistral_table,no
CAPITAL,7 947,"16,1",64 231,"23,8",686 249,"28,8",11 680 338,"17,9",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,8 911,"18,0",63 196,"23,4",638 703,"28,8",18 331 889,"28,1",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,32 598,"65,9",142 620,"52,8",1 060 732,"44,5",35 163 645,"54,0",83,mistral_table,no
SANTA CATARINA,25 215,"100,0",129 304,"100,0",1 100 550,"100,0",22 156 783,"100,0",83,mistral_table,no
CAPITAL,1 768,"7,0",11 949,"9,2",102 583,"9,3",1 540 737,"7,0",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,6 530,"25,9",45 655,"35,3",458 013,"41,6",9 673 373,"43,7",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,16 917,"57,1",71 700,"55,5",539 954,"49,1",10 942 674,"49,4",83,mistral_table,no
RIO GRANDE DO SUL,65 638,"100,0",351 322,"100,0",3 526 560,"100,0",65 356 242,"100,0",83,mistral_table,no
CAPITAL,9 216,"14,0",90 316,"25,7",1 181 714,"33,5",16 276 633,"24,9",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,17 631,"26,8",98 064,"27,9",969 248,"27,5",19 600 750,"30,0",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,38 991,"59,2",162 942,"46,4",1 375 597,"39,0",29 478 859,"45,1",83,mistral_table,no
REGIÃO CENTRO-OESTE,45 341,"100,0",219 370,"100,0",1 948 620,"100,0",44 188 350,"100,0",83,mistral_table,no
TOTAL DAS CAPITAIS,16 202,"35,7",112 926,"51,5",1 220 173,"62,6",25 976 798,"58,8",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,3 706,"8,2",20 481,"9,3",174 206,"8,9",4 879 556,"11,0",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,25 433,"56,1",85 963,"39,2",554 241,"38,4",13 331 995,"30,2",83,mistral_table,no
MATO GROSSO DO SUL,9 831,"100,0",46 797,"100,0",378 380,"100,0",10 029 925,"100,0",83,mistral_table,no
CAPITAL,2 642,"26,9",17 288,"36,9",171 366,"45,3",4 192 571,"41,8",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,879,"6,9",5 500,"11,8",49 965,"13,2",1 566 026,"15,6",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,6 310,"54,2",24 009,"51,3",157 029,"41,5",4 271 327,"42,6",83,mistral_table,no
MATO GROSSO,8 774,"100,0",38 978,"100,0",364 146,"100,0",8 337 256,"100,0",83,mistral_table,no
CAPITAL,2 099,"23,9",13 014,"33,4",135 844,"37,3",2 981 460,"35,5",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,1 327,"15,1",7 705,"19,8",71 318,"19,6",1 881 381,"22,6",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,5 348,"61,0",18 259,"46,8",156 983,"43,1",3 494 415,"41,9",83,mistral_table,no
ODIAS,20 469,"100,0",88 044,"100,0",673 663,"100,0",16 299 960,"100,0",83,mistral_table,no
CAPITAL,5 194,"25,4",37 072,"42,1",380 531,"56,5",9 301 558,"57,1",83,mistral_table,no
MUNICIPIOS COM 100.000 DU MAIS HABITANTES,1 500,"7,3",7 276,"8,3",52 903,"7,9",1 432 149,"6,8",83,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,13 775,"67,3",43 695,"49,6",240 229,"35,7",5 566 253,"34,1",83,mistral_table,no
DISTRITO FEDERAL,6 267,"100,0",45 551,"100,0",532 432,"100,0",9 521 208,"100,0",83,mistral_table,no
