entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,total_revenue_1985_million_cruzeiros,total_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
DEMAIS MUNICIPIOS,9 415,"37,3",28 180,"33,8",194 765,"24,5",778 911,"26,7",169,mistral_table,no
BANJIA,28 489,"100,0",131 744,"100,0",1 211 094,"100,0",,,169,mistral_table_partial,yes
REGIÃO METROPOLITANA - SALVADOR,6 820,"23,9",62 536,"47,5",743 791,"61,4",2. 850 560,"64,0",169,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,21 669,"76,1",69 208,"52,5",467 303,"38,6",1 470 970,"6,6",169,mistral_table_plus_pdf_text_layout,no
REGIÃO SUDESTE,244 472,"100,0",1 559 644,"100,0",18 263 645,"100,0",,,169,mistral_table_partial,yes
TOTAL DAS REGIÕES METROPOLITANAS,120 586,"49,3",978 605,"62,7",13 496 618,"73,8",5 932 009,"43,3",169,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,123 886,"50,7",581 039,"37,3",4 766 727,"26,0",10 942 344,"27,6",169,mistral_table_plus_pdf_text_layout,no
MINAS GERAIS,56 463,"100,0",245 189,"100,0",1 892 251,"100,0",,,169,mistral_table_partial,yes
REGIÃO METROPOLITANA - BELO HORIZONTE,13 579,"24,0",103 871,"42,4",1 103 367,"58,3",,,169,mistral_table_partial,yes
DEMAIS MUNICIPIOS,42 884,"76,0",141 318,"57,6",788 883,"41,7",,,169,mistral_table_partial,yes
RIO DE JANEIRO,53 014,"100,0",413 063,"100,0",5 545 470,"100,0",,,169,mistral_table_partial,yes
REGIÃO METROPOLITANA - RIO DE JANEIRO,42 126,"75,5",367 463,"89,0",5 213 865,"94,0",,,169,mistral_table_partial,yes
DEMAIS MUNICIPIOS,10 888,"20,5",45 600,"11,0",331 605,"6,0",,,169,mistral_table_partial,yes
SÃO PAULO,127 339,"100,0",852 324,"100,0",10 505 035,"100,0",,,169,mistral_table_partial,yes
REGIÃO METROPOLITANA - SÃO PAULO,64 881,"51,0",507 271,"59,5",7 179 686,"68,3",2.8 698 366,"72,4",169,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,62 458,"49,0",345 053,"40,5",3 329 349,"31,7",,,169,mistral_table_partial,yes
REGIÃO SUL,80 855,"100,0",391 359,"100,0",3 629 271,"100,0",13 709 758,"100,0",169,mistral_table_plus_pdf_text_layout,no
TOTAL DAS REGIÕES METROPOLITANAS,17 400,"21,5",146 838,"37,5",1 721 874,"47,4",,,169,mistral_table_partial,yes
DEMAIS MUNICIPIOS,63 455,"78,5",244 521,"62,5",1 907 397,"52,6",,,169,mistral_table_partial,yes
PARANA,31 421,"100,0",156 436,"100,0",1 330 682,"100,0",5 217 2.23,"100,0",169,mistral_table_plus_pdf_text_layout,no
REGIÃO METROPOLITANA - CURITIBA,6 778,"21,6",60 690,"39,0",645 757,"48,5",2 263 839,"43,4",169,mistral_table_plus_pdf_text_layout,no
DEMAIS MUNICIPIOS,24 643,"78,4",94 746,"61,0",684 925,"51,5",,,169,mistral_table_partial,yes
RIO GRANDE DO SUL,32 952,"100,0",162 997,"100,0",1 669 553,"100,0",,,169,mistral_table_partial,yes
REGIÃO METROPOLITANA - PORTO ALEGRE,10 622,"32,2",86 148,"52,9",1 076 117,"64,5",,,169,mistral_table_partial,yes
DEMAIS MUNICIPIOS,22 330,"67,8",76 849,"47,1",593 436,"35,5",,,169,mistral_table_partial,yes
