municipio,juros,salarios,terras,transporte
Jaragua,Em geral a taxa é de 1% ao mez.,"Um trabalhador rural ganha 1$000 diarios; cozinheiro, 10$000 a 15$000 mensaes; as lavadeiras cobram 50o réis por duzia de pecas; carpinteiro, 4$000 diarios; nao ha administradores nem Os salarios sao pagos e os contractos cumpridos.","Qualidades — Os terrenos do municipio são geralmente planos, predominando as","Para o mercado local, o transporte é feito pelos proprietarios ; para fóra do municipio paga-se 25 réis por kilo, em carros de bois ou tropas."
Jatahy,Variaveis.,".Um trabalhador rural ganha de.2$000 a 3$000 diarios, com comida; nao ha administradores nem escrivaes de fazenda; os vaqueiros ou ganham.de 60$000 a 80$000 mensaes ou sao pagos","Qualidades-En sua maioria boas, argillosas e planas, havendo regulares e inferiores em menor numero. A vegetacao & represen- tada por muitos campos, cerrados, mattas e por algumas capoeiras e_carrascaes. Precos-Um alqueire de terra de campo,com48.4co metros quadrados custa de 10$000 a 15$000; de matta virgem, de 50$000 a 60$000, mas perto da cidade, de 200$000 a 250$000.","Os lavradores transportam as mercadorias para o mercado local em conduccao propria. O.transporte. feito em carros de bois custa de 10$000 a 20$000 (o carro conduzindo. 1oo arrobas) na distancia de cinco a dezleguas,respectivamente."
Mestre d'Armas,A taxa é de um e meio por cento ao mez.,"O trabalhador rural ganha 1$000 diarios; um cozinheiro, de 10$000.a 15$000 mensaes; as lavadeiras cobram 500 réis por duzia de pecas de roupa; um carpinteiro, 4$000 diarios; nao ha admi- nistradores nem escrivaes de fazenda. Os salarios sao pagos e os","Qualidades - As terras do municipio sao na sua maioria boas e silico-argillosas; ha grandes extensoes planas, principalmente ao norte, e montanhosas ao sul. A vegetacao é representada por grandes mattas virgens, capoeiras, cerrados e campos extensos. Precos - As terras nao estao valorizadas. Compra-se um hectare de terra boa por 2$000 e menos.","Para o mercado local as cargas sao transportadas pelos proprios agricultores; para Araguary, sendo a conduccao feita em tropa, paga-se 333 réis por kilo de cereaes ou de qualquer mercadoria agricola, e em carro de bois, 200 réis."
Mineiros,Taxa de um a um e meio por cento ao mez.,"Um trabalhador rural ganha 2$000 por dia; nao ha adminis tradores nen cscrivaes de fazenda; carpinteiro, 8$000 a 12$000 por dia; cozinheiro, 75$000 a 90$000 e até 100$000, quando para viagens por mez; lavadeira, 18$000 a 22$000 por mez. Os salarios sao pagos e os contractos cumpridos.","Qualidades - As terras do municipio podem ser mais ou menos assim divididas: boas, talvez metade; regulares e inferiores, outra metade; em sua maioria sao arenosas e planas e algumas pedre gosas. A vegetacao é representada por mattas virgens, capoeiras, cerrados, carrascaes e campos. Precos -Um alqueire de 48.4oo metros quadrados de terra boa, de matta, custa cerca de 10$000 a 12$000; um alqueire de campo ou cerrado, 3$000 a 6$000.",".Uma carrada de cem arrobas na distancia de cinco a dez leguas paga 10$000 a 20$000; um carro de bois de Uberaba até aqui, cerca de 12o leguas, carregado com 12o arrobas de merca- dorias custa de 650$000 a 700$000."
Morrinhos,A taxa é de 12% ao anno.,"O trabalhador rural ganha 1$000 diarios e 25$000 mensaes; um cozinheiro, 15$000 mensaes; uma lavadeira, 8$000 mensacs; um carpinteiro, 8$000 diarios; nao ha administradores nem escrivaes de fazenda. Os vaqueiros percebem, 500$000 annuaes ou um quarto da produccao animal. Os salarios sao pagos e os contractos cum-","Qualidades-No geralas terras.sao boas. cm grande parte misturadas.e accidentadas. A vegetacao é representada por mattas, capoeiras, cerrados e campos.: Precos - O hectare de terra böa custa de 3$000 a 5$000, comprado a particulares, e de Sco réis. a 1$000 comprado ao Estado.","O custo médio .do..transporte para.Araguary, em carro . ou tropa, é de 54 réis por kilo."
Natividade,Nao ha taxa fixa.,"Um trabalhador rural ganha 50o réis diarios; nao ha administra dores .nem escrivaes de fazenda; um vaqueiro, verdadeiro administrador ganha 25 °[ da produccao do gado que lhe é entregue; carpinteiro, de 3$000 a 4$000 diarios; cozinheira, 10$000 mensaes; lavadeira, 15$000 mensaes. Os salarios sao pagos e os contractos",Qualidades — No geral as,"O custo médio do transporte para, Araguary, em carro - ou tropa, é de 54 réis por kilo. — 79 —"
Palma,Nao ha taxa fixa.,"Um trabalhador rural ganha 5oo réis diarios; nao ha adminis tradores nem escrivaes de fazenda. Nas fazendas de criar o vaqueiro, verdadeiro administrador, percebe como vencimentos, um quarto da produccao animal; um carpinteiro ganha 2$000 diarios; cozinheiro, 10$000; lavadeira, 5$000. Nem sempre os salarios sao pagos e os","contractos cumpridos. riores. Na maioria as terras sao planas e silico-argillosas, existindo alguns terrenos pedregosos e seccos. A vegetacao é representada por poucas mattas virgens, muitas capoeiras, cerrados e campos. Precos - O hectare de terra boa custa de 1$000 a 1$200, mais ou menos.","O transporte é feito em animaes ou canoas e paga-se mais ou menos, 5 a 15 réis por litro, conforme a distancia."
Pedro Affonso,Nao ha emprestimo sobre propriedades agricolas.,"Um trabalhador rural ganha 1$000 a 2$000 diarios ; nao ha admi nistradores nem escrivaes de fazenda; um vaqueiro encarregado da criacao, tem 25 da produccao animal do gado.de que toma conta; um .carpinteiro, 3$000 diarios, con alimentacao; uma lavadeira, 15$000 mensaes; um. cozinheiro, 20$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades - As terras do municipio, na maior parte, sao inferiores e regulares; silico-argillosa; planas e seccas. A vegetacao é representada por mattas virgens, capoeiras, extensos cerrados e campos. Precos - O hectare de terra de propriedade do Estado, é vendido de 500 réis a 1$200.",Para o mercado local paga-se de 10 a 20 réis por litro. O frete por via fluvial é de 20 a 200 réis por kilo de cereal e conforme a distancia.
Peixe,Nao ha taxa fixa.,"Um trabalhador rural ganha 5oo réis diarios; nao ha adminis tradores nem escrivaes de fazenda. O vaqueiro, verdadeiro admi- nistrador, percebe um quarto da produccao da criacao de que toma conta; um carpinteiro, 2$000 diarios; uma cozinheira, 10$000 mensaes; uma lavadeira, 5$000 mensaes. Nem sempre os salarios sao pagos e os contractos cumpridos.","Qualidades - As terras do municipio podem ser, mais ou menos, assim divididas: boas, as das mattas e capoes; regulares, as dos: cerrados e taboleiros; e inferiores, as dos canpos. Na maioria as sao argillosas, planas e séccas. A vegetacao é representada por algumas mattas virgens, poucas capoeiras e muitos cerrados: e campos. Precos -- O hectare de terra boa custa de 1$000 a $200.",Para o mercado 1ocal pagam de 2o a 3o réis pof litro ou kilo de cereaes e para pontos mais distantes; de 50 a 10o réis.
Pilar,Nao ha taxa fixa.,"Um trabalhador rural ganha 300 réis diarios; não ha administradores nem escrivães de fazenda. O vaqueiro, verdadeiro administrador, percebe um quarto da producção da criação de que “toma conta; um carpinteiro, 28000 diarios; uma cozinheira, IOS000: mensaes; uma lavadeira, 58000 mensaes. Nem sempre os","Qualidadles --As terras do municipio sao magnificas e cobertas de mattas magnificas, optimas para culturas e de campos magnificos; sao no geral pedregosas e accidentadas. A vegetacao é representada, por mattas virgens fertilissimas, boas capoeiras, alguns cerradas, carrascaes e campos. Precos-- As terras pertencentes'ao Estado, sendo em nattas, custam 8oo réis o hectare, e sendo em campos, 50o réis. As terras de propriedade particular, custam ainda menos.","O transporte para o mercado local, é feito pelcs proprios productores. A conduccao feita em tropa, ao ponto mais proximo da estrada de ferro, custa 4oo reis por kilo."
