municipio,juros,salarios,terras,transporte
Jacarézinho,Taxa de 1 a 1 1/2% ao mez.,"$-Trabalhador rtral, 2$500 diarios; cozinheiro, 20$000 mensacs; lavadeira. $000 por duziade pecas lavadas carpinteiro, 4$000 a 6$000 diariosadministrador de fazenda,1:000$000 a 1:400$00 annuaes; escrivao de fazenda, S00$000 a I :000$000 annuaes; os sao pagcs e os contractos cumpridos.","Qualidades-Sao boas na maior parte; ha bastante rcgulares e poucas inferiores. Ha argillosas em grande quantidade c muitas misturadas, sendo muito poucas as arenosas,nas vizinhancas da villa. Ha mais nontanhosas do quc planas.A vegetacao é repre- sentada por nuitas mattas e capoeiras, poucos cerrados e campos. Precos O preco do hcctare de terra boa é de 40$000 a 60$000.","O preco do transporte varia com a distancia, sendo feita por tropas ou pela estrada de ferro."
Jaguariahyva,A taxa é de 18 a 24 por cento ao anno.Ha difficuidade na acquisicao de capitaes.,"Trabalhador rural, 1$500 a 2$000 diarios; cozinheiro, 15$000 mensaes;lavadeira,5$000.mensaes; carpinteiro,5$000 por dia; capataz de fazenda, 80$000 mensaes;nao ha administradores nem escrivaes de fazendas. Os salarios sao pagos e os contractos","Qualidades-Na maior parte boas e regulares,sendo muito poucas as inferiores; sao argillosas e misturadas, geralmente montanhosas; as serras do Canastrao,Manoel Grande e das Cinzas cortam o muni- cipio. A vegetaqao é representada por mattas virgens, capoeiras, cerrados, carrascaes e campos. Precos -- O hectare de terra böa custa de 20$000 a 25$000, approxi- inadamente.","Para o mercado local regula quatro réis por litro; para S. Jose da Boa Vista, distancia approxinada de nove leguas, custa em.carrocas ou tropas, 3o réis por litro."
Jaboticabal,Taxa de 1o a 12% ao anno.,"Trabalhador rural, de 2$000 a 2$500 por dia; administrador de fazenda, de 100$000 a 120$000 mensaes; nao ha escrivaes de fazendacarpinteiro,6$000 diarioscozinheiras,25$000 mensaes; lavadeira ganha por peca a razao d@ 5oo réis a duzia. Os salarios sao pagos e os contractos cunipridos.","Qualidades-No geral boas, principalmente nos altos; regulares principalmente nas baixadas; inferiores principalmente nas zonas devassadas para os lados do Ribeirao Claro.Sao argillosas quasi todas dos logarcs altos;arenosas para os lados da colonia allema. Sao misturadasmais montanhosas do que planaspedregosas nas encostas dos norros.Ha nmuitas mattas virgers nas estradas de Thomazina, Ribeirao Claro e Jaboticabal; muitas capoeiras e cerrados, poucos carrascaes e campos. Precos-Un hectare de terra,proximo da villa,custa 100$000 e distaute custa 40$000; estes precos varian.",O transporte feito por tropas custa por arroba de 4oo a Goo réis até Fortuna c 1$500 até o mercado de Jaguaryahiva.
Lapa,A taxa é de 12a I8 por cento ao anno,"Trabalhador rural dc 22$000 a 3$000 diarios ; nao ha adiministra dores nem escrivaes de fazenda ; carpinteiro, 5$000 a 6$000 diarios; cozinheira, 15$000 a 20$000 mensaes; lavadeira, 20$000 a 30$000 mensaes.Os salarios saopagos e os contractos cumpridos.","Qualidades- Boas em grande parte ; regulares, muitas; inferiores. poucas; misturadas, muitas; arenosas, poucas. Ha montanhosas c planas e pedregosas em grande quantidade. A vegetaqao é repre- sentada por grande parte de mattas virgens, muitas capoeiras c cerrados, alguns carrascaes e muitos canpos. Precos -- Un hectare de terraproximo aos nucleos coloniaes custa 41$300 a 61$980 e distante 24$972; cstes preqos variam.",Os colonos fazem o transporte por conta propria.
Morretes,Nao ha.emprestimos.,"Cozinheira, 20$000 a 30$000 nensaes; lavadeira 50o réis por duzia de pecas; carpinteiro, 5$000 a 8$000 diarios; trabalhador rural,2$000 a 2$500 por dia,sem comida;nao ha administradores nem escrivaes de fazenda. Os salarios sao pagos e os contractos","Qualidades - Na maior parte, böas, as restantes sao regulares; ha inuita terra misturada e terreno pedregoso; ha terras planas e montanlosas. O municipio possue mattas virgeps, cerrados, capoei- ras e poucos carrascaes.'Nao ha campos. Precos -O preco das terras é muito yariavel.",O frete na estrada de ferro varia com a distancia.
Palmeira,Nao ha emprestimos.,"Trabalhador rural, 2$000 a $500 diarios; cozinheiro, 25$000 nensaes; lavadeira, 50o réis por duzia de pecas; carpinteiro, 5$000 diarios; nao ha administradores nem escrivaes de fazenda. Os sala- rios sao pagos e os contractos cumpridos.","Qualidades - Na maioria sao boas, as das mattas ; regulares, as de alguns campos; e inferiores, as dos hervaes e campos do Nordeste (Pugas, Alegrete c Quero-Quero) ; sao geralmente ondluladas, e na parte Nordéste, onde se estabeleceram os colonos russos, pedre- gosas e cascalhentas. A vegetacao é representada por grandes mattas e capoicras, cerrados, carrascaes e muitos campos ; uns bons c outros inferiores. Precos -- O hectare de terra boa custa de 80$000 a 100$000, mais ou menos.","Para o mercado local os productos sao transportados em carrocas dos productores. Na Estrada de Ferro pagam por tonelada de cereaes,batatas e lcgumes, 3$100 para Ponta Grossa; 6$900 para Curitiba. Fructas, em geral por tonelada,6$700 para Ponta Grossa c 13$000 para Curitiba. Herva-matte, 29$000 por tonielada para Curitiba e 45$200 para Paranagua. Herva-matte beneficiada, 50$000 por tonclada para Paranagua c Antonina.Ftmo,16$600 por tonelada para Ponta Grossa e 22$500 para Curitiba."
Palmas,A taxa é de 12 a 18% ao anno.,".-Trabalhador rural, de 1$500 a 2$500 diarios; cozinheiro,40$000 mensaes; lavadeira, 20$000 mensaes; carpinteiro, 5$000 .diarios; administrador de fazenda, de 50$000 a g0$000 mensaes; nao ha escrivaes de fazenda. Os salarios sao pagos c os contractos","Qualidades -- Predominam as terars böas e regulares, como as do valle do rio Iguasst, existindo tambem, nao pequena parte, de inferiores; geralmente sao argillosas, accidentadas e em parte pedregosas. A vegetacao é representada por grandes e ricas mattas virgens, capoeiras, cerrados, carrascaes e extensos campos naturaes. Precos--O liectare de terra boa custa de 8$000 a 15$000.",Para o ncrcado local o trausporte custa de 2o a 5o reis e mais por litro; para o porto da Uniao a herva-matte paga de 8co réis a 1$000 por arroba.
Paranagua,Nao ha emprestimos agricolas.,".-- Trabalhador rural, 2$000 diarios c alimentacao; nao ha admi nistradores nen escrivaes de fazenda.carpinteiro,6$000 diarios; cozinheiro, 30$000 a 70$000 mensaes; lavadeira, 50o réis por duzia de pecas lavadas. Os salarios sao pagos e contractos cumpridos.","Qualidades - Ha tcrras bóas ; algumas regulares c poucas inferio res. Umas arenosas, outras argillosas c outras misturadas; algumas planas e outras montanhosas; ha pedregosas nas serras; sao euxu- tas em sua maior parte. A vegetacao é representada por mattas virgens, capoeiras, cerrados, poucos carrascaes e campos. Precos - Um hectare de terra.böa custa 10$000, mais ou nenos.",E' feito pelos proprios productores ao mercado local.
Palmyra,Nao ha emprestimos a juro.,"Trabalhador rural ganha 2$000 diarios a secco; cozinheiro, 40$000 mensaes; lavadeira, 15$000; carpinteiro, 4$000 a 5$000 diarios. Nao ha administradores nem escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Boas poucas; regulares a naior parte; inferiores algunas; mais montanhosas do que planas,que sao poucas; a maior parte misturadas; mais arenosas do que argillosas. A vegetacao é representada por muitas mattas e capoeiras, alguns cerrados e campos. Precos Um hectare de terra böa custa 42$000, mais ou menos.",O custo dos transportes é muito variavel.
Pirahy,Pagam de 18 a 24 por cento ao anno.,"Trabalhador rural, 1$500 a 2$000 diarios; cozinheiro, 40$000 a 60$000 mensaes; carpinteiro, 4$000 diarios; lavadeira, 25$000 a 30$000 mensaes; administrador de fazenda, 100$000. a 150$000 mensacs; escrivao de fazenda, 15$000 a 20$000 mcnsaes. Em geral os salarios sao pagos e os contractos cumpridos.","Qualidades - Na maior,parte boas, inclusive as de campos. Ha algumas regulares e muito poucas inferiores; ha argillosas,areno- sas e misturadas.Ha montanhosas e planas;existem poucas mattas virgens, muitas capoeiras; a maior parte das terras do municipic sao occupadas por campos. Precos - Um hectare de terra böa custa de 15$000 a 20$000, approxi- madamente.","De Fundao,a localidade mais distante da séde do muni cipio,paga-se 16reis por um litro de cerealpara o mercado local, de ttma arroba, por tropa, na distancia de dez leguas paga-se 25o réis ou 16 réis por kilo."
