municipio,juros,salarios,terras,transporte
Espirito Santo,Taxa 1% a 2% ao mez.,"Um trabalhador rural ganha 1$000 diarios; un feitor de fazenda, 40$000 mensaes; nao ha escrivaes de fazenda; um carpinteiro, 2$000 a 2$500 diarios; uma cozinheira ou lavadeira, 8$000 mensaes. Os salarios sao pagos c os ccutractos cumpridos.","Qualidades--Em sua maioria inferiores e arenosas, existindo algumas regulares e misturadas, poucas boas, e argillosas. Mais ou nnos plauas, poucas as montanhosas. A vegetacao é representada por muitas capoeiras, alguns campos e pouccs cerrados, carrascaes e mattas virgens. Precos - Un hectare de terra boa póde custar de 5$000 a 30$000.",$-O custo dos transportes é muito variavel.
Estancia,A taxa de um a dois por cento ao mez.,"Un trabalhador rural ganha $000 a 1$500 diarios; nao ha administradores de fazenda, ha feitores que percebem na média, 50$000-mensaes. Nao ha escrivaes de fazenda; um carpinteiro ganha de 2$000 a 3$000 diarios; cozinheira, 10$000 a 12$000 men- saes; lavadeira, 12$000 mensaes. Os salarios sao pagos e os con- tractos cumpridos.","Qualidades -- Em sua maioria, boas. Ha argillosas, arenosas c misturadas. Mais onduladas do que planas e um tanto seccas. Possue muitas capoeiras, alguns campos e poucas mattas, cerrados e car- rascaes. Precos - Um hectare de terra boa custa de 10$000 a 30$000.",Variam com a distancia c o peso.
Gararu,Taxa de 2% e 3% mensaes.,"Trabalhador rural 1$000 por dia; nao ha, administradores nem escrivaes de fazenda; ha vaqueiros que tomam conta do gado e que por isso percebem 4 da produccao; carpinteiro, 2$500 por dia ; cozinheiro, de 6$000 a 10$000 mensaes; lavadeira, 10$000 mensaes Os salarios sao pagos.","Qualidades - No geral inferiores, misturadas, montanhosas, pedregosas e seccas, havendo algumas regulares e arenosas. A vegetacao é representada por muitas capoeiras e carrascaes, poucos cerrados, mattas e campos. Precos - Com excepcao das lagoas, onde se cultiva o arroz e que se vende em lotes, a terra nas catingas nao teem preco, por ser muito secca.","O transporte é feito por via fluvial e por via terrestre. Pelo rio S. Francisco que tem um porto na villa as mercadorias sao conduzidas em canoas em toda a sua extensao navegavel, para os centros consumidores."
Itabaiana,Pagam 1% a 2% ao mez.,"Um trabalhador rural ganha 1$000 diarios; um feitor de fazenda, de 2$000 a 2$500 diarios; nao ha escrivaes de fazenda; uma cozi- nheira, de 8$000 a 10$000 mensaes; uma lavadeira, de 8$000 a 10$000 mensacs; um carpinteiro, de 2$000 a 2$500 diarios. Os salarios sao pagos e os contractos cunpridos.","Qualidades-Ha terras boas, regulares e inferiores.. argillosas, arenosas c misturadas. A maior parte é nontanhosa, ha planas em pequena porcao, poucas séccas e pedregosas ; nao ha pantanos. A vegetacao é representada por muitas capoeiras, poucos carrascaes e cerrados e alguns campos. (Vide nota). Precos - Varia o preco segundo as circumstancias","Os transportes se fazem em carros de bois e costas de animaes. No inverno as estradas sao de transito difficil, elevando-se por causa disso, o preco do transporte."
Itabaianinha,A taxa usada é de 1% a 2% ao mez.,"Cozinheira ganha 8$000 a 10$000 por nez; lavadeira 8$000 a 10$000 mensaes carpinteiro,2$000 a 2$500 diarios;trabalhador rural, 1$000 diarios; feitor de fazenda, 30$000 mensaes. Nao ha escrivaes da fazenda. Os salarios sao pagos e os contractos cumpridcs.","Qualidades-Ha boas,regulares e inferiores,talvez em partes mais ou menos iguaes. Em. sua naioria arenosas, accidentadas. e pedregosas. Possue muitas capoeiras, alguns campos, poucos carrascaes e raras mattas virgens. Precos - Um hectare de terra böa custa de 10$000 a 30$000","O preco dos transportes das mercadorias é variavel, sendo mais elevado durante o inverno, por causa dos caminhos ficarem com o transito muito penoso com as chuvas."
Itaporanga,Nao ha prestamistas.,"O trabalhador rural ganha por dia na epoca das safras de Sco réis a 1$200; uma cozinheira, de 6$000 a 10$000 mensaes; uma lavadeira. de 6$000 a 8$000 mensaes; um carpinteiro, de 2$000 : a 3$000 diarios; nao ha administradores nem escrivaes de fazenda. Os salarios sao senpre pagos.","Qualiades-As terras sao na sua maioria böas e regulares; argillosas e accidc::adas, sem serem montanhcsas; ha poucas terras seccas, pedregosas e pantanosas. A vegetaqao & repersentada por nmattas virgens, capoeiras, cerrados, carrascaes e campos. Precos - Os precos sao muito variaveis e fixados na occasiao da venda; mas no geral o hectare, custa 10$000, mais ou menos.","Para a mercado local o transporte é quasi sempre fe:to pelo proprio vendedor. O sacco de assucar paga de Itaporanga .ao Rio de aneiro, 1$500."
Japaratuba,Taxa de um a dois por cento ao mez.,"Trabalhador rural, 1$500 por dia; administradores de engenho, 100$000 mensaes; nao ha escrivaes de fazenda; carpinteiro, 3$000 diarios: cozinheiro, 8$000 a 10$000 mensaes; lavadeira, 10$000 mensaes. Os salarios sao pagos.","Qualidades - Na maior parte boas, muito ferteis; ha poucas regu lares e inferiores; em sua maioria sao misturadas e planas. Nao ha mattas virgens c.cerrados; ha muitos campos e algumas capoeiras e carrascaes. Precos - Um hectare de terra böa custa 500$000 (mais ou menos), porém, ha precos bem inferiores.","TRAN'SPORTES - O preco de transporte de cereaes regula ser, por litro, de oito réis para Maroim; de assucar, regula ser de 3oo réis.por sacco de 6o kilos. O assucar.conduzido por carros e tropas regula pagar 3oo e mais por sacco, conforme a distancia."
Lagarto,Variam de 1% a 2% ao mez.,"Cosinhcira ganha de 8$000 a 10$000 mensaes; lavadeira, de 8$000 a 10$000 mensaes; carpinteiro,de 2$000 a 2$500 diarios; diarios; trabalhador rural, 1$000 por dia; nao ha administradores nen escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Sao ferteis, havendo boas, regulares e inferiores; argillosas.umas, misturadas outras, en grande parte accidentadas, pedregosas e séccas. A vegetacao é representada por muitas capoeiras e .campos e poucas mattas c cerrados. Precos -- Um hectare de terra boa custa de 10$000 a 20$000.",O custo dos transportes das mercadorias é muito variavel.
Laranjeiras,A taxa é de 24% ao anno.,"Um trabalhador rural, ganha 1$000, diarios; um administrador de fazenda,30$000 a 60$000,mensaes;nao la escrivaes de fazenda: um carpinteiro, 3$000 diarios; um cozinheiro, 10$000 nensaes; uma lavadeira,8$000.mensaes. Os contractos sao cumpridos c os salarios pagos.","Qualidades-Em sua naioria boas e argillosas, havendo arenosas e misturadas, planas e nontanhosas, talvez em partes eguaes, assim cono algumas regulares.e inferiores. A vegetacao é representada por mattas virgens, cerrados e carrascaes em pequena parte, e por capoeiras e campos na maior parte.. Precos-Um hectare de terra boa, custa 100$000, mais.ou menos","Sao feitos em canoas, pelo rio Cotinguiba e em carros de bois para o interior do municipio. Os fretes sao muito variaveis."
Maroim,A taxa é de 2% ao mez.,"Um trabalhador rural ganha de 1$000 a 1$200 diarios; um administrador de fazenda, 60$000 mensaes; nao ha escrivaes de fazenda; um carpinteiro ganha 3$000 diarios; um cozinheiro, 10$000 mensaes; uma lavadeira 8$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades -As terras do municipio sao no geral böas; arenosas em grande parte, havendo em menor numero argillosas e mistu radas; parte é plana, parte montanhosa; ha muita terra sécca e pedregosa, a vegetacao sendo representada por capoeiras, cerrados, carrascaes e campos. Precos - Uma tarefa ou 3.025 metros quadrados custa 50$000, mais ou menos.","Os transportes sao feitos em tropas, carros de bois, canoas ou lanchas, sendo o custo muito variavel."
Pacatuba,A taxa usual é de 12% ao anno.,"Cozinheiro ganha 10$000 mensaes; lavadeira, 6$000; carpintei ro, 3$000 a, nais diarios; administrador de fazenda, 600$000 a S00$000 annuaes; trabalhador rural, $000 e mais diarios.. Nao ha escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades - Em sua maioria regulares, havendo. em menor quantidade boas e inferiores. Em parte sao arenosas e.argillosas e em parte menor, misturadas. Umas planas, outras montanhosas: unas seccas, outras pantanosas.A vegetacao é representada por muitos campos e: capoeiras, alguns carrascaes e poucas mattas virgens e cerrados. Precos -Um hectare de terra böa custa 200$000, approximadamente.","O frete para o transporte das mercadorias io municipic, varia conforme.a distancia."
Porto da Folha,A taxa é de 24% ao anno.,"Um trabalhador rural,ganha de 8oo réis a 1$000,diarios; um administrador de fazenda, 30$000 a 50$000 mensaes; nao ha escrivaes de fazenda ; um carpinteiro, ganla 2$000 a 2$500, dliarios; uma cozinheira ou lavadeira, 8$000 mensaes. Os salarios sao pagos e os contractos cumpridos:","Qualidades-As terras do municipio sac enm sua maioria boas, havendo tambem regulares e inferiores; sao arenosas e misturadas, eim partes talvez mais ou menos iguaes. O municipio équasi todo accidentado e. em. grande parte pedregoso. A vegetacao representada por.capoeiras, cerrados, carrascaes e'campos; nao ha mattas virgens. Precc's - Um hectare de terra boa, custa 50$000, mais'ou menos","O transporte dos productos é feito por canoas, pelo rio S. Francisco e lagoas e por animaes e carros de bois. O preco dos fretes varia muito."
